Most Frequent Pairs
{cwm_dwh_dw,cwm_dwh_uo}
{cwm_prt_uo,cwm_pub}
{cwm_net,cwm_req}
{cwm_cot_dw_2,cwm_cot_uo}
{cwm_net,cwm_net_dw}
{cwm_sta,cwm_sta_uo}
{cwm_org,cwm_org_uo}
{cwm_org,cwm_org_dw}
{cwm_res_uo,cwm_trt_dw}
{cwm_cot_uo,cwm_res_uo}
{cwm_liq_uo,cwm_res_uo}
{cwm_sta_lst_dw,cwm_sta_uo}
{cwm_brd_uo,cwm_sta_uo}
{cwm_app,cwm_app_dw}
{cwm_tpy_dw,cwm_tpy_uo}
{cwm_pai,cwm_pai_uo}
{cwm_app,cwm_pai}
{cwm_brd_dw_2,cwm_noe_liq}
{cwm_noe_dw_2,cwm_noe_lec}
{cwm_noe_dw_1,cwm_noe_dw_2}
{cwm_noe,cwm_noe_dw_2}
{cwm_noe_dw_2,cwm_noe_liq}
{cwm_ctr_dw_2,cwm_ctr_uo}
{cwm_noe_dw_1,cwm_noe_irm}
{cwm_tool,cwm_tool_dw}
{cwm_tool,cwm_tool_uo}
{cwm_app,cwm_tool}
{cwm_org_uo,cwm_prt_uo}
{cwm_org_uo,cwm_prt}
{cwm_prt,cwm_trs}
{cwm_brd,cwm_trs}
{cwm_edi,cwm_edi_dw}
{cwm_app,cwm_edi}
{cwm_par_dw,cwm_par_uo}
{cwm_par_dw,cwm_prt}
{cwm_txt,cwm_txt_dw}
{cwm_txt,cwm_txt_uo}
{cwm_app,cwm_txt}
{cwm_fdb,cwm_txt}
{cwm_edi_dw,cwm_edi_uo}
{cwm_app,cwm_edi_dw}
{cwm_abc_uo,cwm_prt}
{cwm_abc_uo,cwm_app}
{cwm_cot_dw_1,cwm_cot_dw_3}
{cwm_cot_dw_1,cwm_pai_uo}
{cwm_cot_dw_1,cwm_cot_uo}
{cwm_app,cwm_cot_dw_1}
{cwm_pai_dw,cwm_pai_uo}
{cwm_app,cwm_pai_dw}
{cwm_app,cwm_org_dw}
{cwm_cot_dw_3,cwm_cot_uo}
{cwm_prev,cwm_prev_dw}
{cwm_prev,cwm_prev_uo}
{cwm_prev,cwm_prt}
{cwm_app,cwm_prev}
{cwm_fdb,cwm_prev}
{cwm_ctr,cwm_ctr_uo}
{cwm_ctr,cwm_prt_uo}
{cwm_ctr,cwm_prt}
{cwm_app,cwm_ctr}
{cwm_prev_dw,cwm_prev_uo}
{cwm_app,cwm_prev_dw}
{cwm_liq_2,cwm_liq_dw_1}
{cwm_liq_2,cwm_liq_dw_2}
{cwm_liq,cwm_liq_2}
{cwm_liq_2,cwm_liq_uo}
{cwm_trt_dw,cwm_trt_uo}
{cwm_app,cwm_trt_uo}
{cwm_ctr_uo,cwm_prt_uo}
{cwm_ctr_uo,cwm_prt}
{cwm_noe_dw_1,cwm_noe_lec}
{cwm_edi_uo,cwm_noe_lec}
{cwm_noe,cwm_noe_lec}
{cwm_noe_lec,cwm_noe_liq}
{cwm_tool_dw,cwm_tool_uo}
{cwm_app,cwm_tool_dw}
{cwm_fdb,cwm_tool_dw}
{cwm_liq_uo,cwm_trt_dw}
{cwm_app,cwm_trt_dw}
{cwm_brd,cwm_trt_dw}
{cwm_noe,cwm_noe_dw_1}
{cwm_liq_dw_1,cwm_noe_dw_1}
{cwm_liq_dw_2,cwm_noe_dw_1}
{cwm_noe_dw_1,cwm_noe_liq}
{cwm_liq,cwm_noe_dw_1}
{cwm_liq_uo,cwm_noe_dw_1}
{cwm_abc,cwm_par_uo}
{cwm_par_uo,cwm_prt_dw}
{cwm_par_uo,cwm_prt_uo}
{cwm_par_uo,cwm_prt}
{cwm_app,cwm_par_uo}
{cwm_fdb,cwm_par_uo}
{cwm_app,cwm_tool_uo}
{cwm_fdb,cwm_tool_uo}
{cwm_edi_uo,cwm_noe_liq}
{cwm_app,cwm_edi_uo}
{cwm_noe,cwm_noe_liq}
{cwm_liq,cwm_noe}
{cwm_noe,cwm_prt}
{cwm_app,cwm_noe}
{cwm_fdb,cwm_noe}
{cwm_cot_uo,cwm_trt}
{cwm_app,cwm_trt}
{cwm_fdb,cwm_trt}
{cwm_liq,cwm_prev_uo}
{cwm_liq_uo,cwm_prev_uo}
{cwm_app,cwm_prev_uo}
{cwm_fdb,cwm_prev_uo}
{cwm_abc,cwm_prt_dw}
{cwm_abc,cwm_prt_uo}
{cwm_abc,cwm_liq}
{cwm_abc,cwm_prt}
{cwm_abc,cwm_liq_uo}
{cwm_abc,cwm_app}
{cwm_abc,cwm_fdb}
{cwm_brd_uo,cwm_xxx_dw_3}
{cwm_xxx_dw_2,cwm_xxx_dw_3}
{cwm_tpy_uo,cwm_xxx_dw_3}
{cwm_xxx_dw,cwm_xxx_dw_3}
{cwm_txt_dw,cwm_txt_uo}
{cwm_app,cwm_txt_dw}
{cwm_fdb,cwm_txt_dw}
{cwm_liq_dw_1,cwm_liq_dw_2}
{cwm_liq_dw_1,cwm_noe_liq}
{cwm_liq,cwm_liq_dw_1}
{cwm_liq_dw_1,cwm_liq_uo}
{cwm_app,cwm_liq_dw_1}
{cwm_fdb,cwm_liq_dw_1}
{cwm_liq_dw_2,cwm_noe_liq}
{cwm_liq,cwm_liq_dw_2}
{cwm_liq_dw_2,cwm_liq_uo}
{cwm_app,cwm_liq_dw_2}
{cwm_fdb,cwm_liq_dw_2}
{cwm_brd_uo,cwm_xxx_dw_2}
{cwm_brd_uo,cwm_pai_uo}
{cwm_brd_uo,cwm_prt}
{cwm_app,cwm_brd_uo}
{cwm_brd,cwm_brd_uo}
{cwm_brd_uo,cwm_fdb}
{cwm_brd_uo,cwm_xxx_dw}
{cwm_xxx_dw,cwm_xxx_dw_2}
{cwm_liq,cwm_noe_liq}
{cwm_liq_uo,cwm_noe_liq}
{cwm_app,cwm_noe_liq}
{cwm_app,cwm_txt_uo}
{cwm_fdb,cwm_txt_uo}
{cwm_cot_uo,cwm_pai_uo}
{cwm_pai_uo,cwm_prt}
{cwm_app,cwm_pai_uo}
{cwm_fdb,cwm_pai_uo}
{cwm_pai_uo,cwm_xxx_dw}
{cwm_cot_uo,cwm_prt_dw}
{cwm_prt_dw,cwm_prt_uo}
{cwm_prt,cwm_prt_dw}
{cwm_app,cwm_prt_dw}
{cwm_fdb,cwm_prt_dw}
{cwm_cot_uo,cwm_prt_uo}
{cwm_cot_uo,cwm_prt}
{cwm_app,cwm_cot_uo}
{cwm_cot_uo,cwm_fdb}
{cwm_cot_uo,cwm_xxx_dw}
{cwm_liq,cwm_prt_uo}
{cwm_prt,cwm_prt_uo}
{cwm_liq_uo,cwm_prt_uo}
{cwm_app,cwm_prt_uo}
{cwm_prt_uo,cwm_tpy_uo}
{cwm_fdb,cwm_prt_uo}
{cwm_liq,cwm_prt}
{cwm_liq,cwm_liq_uo}
{cwm_app,cwm_liq}
{cwm_fdb,cwm_liq}
{cwm_liq_uo,cwm_prt}
{cwm_app,cwm_prt}
{cwm_brd,cwm_prt}
{cwm_fdb,cwm_prt}
{cwm_app,cwm_liq_uo}
{cwm_fdb,cwm_liq_uo}
{cwm_app,cwm_brd}
{cwm_app,cwm_fdb}
{cwm_brd,cwm_tpy_uo}
{cwm_fdb,cwm_tpy_uo}
{cwm_tpy_uo,cwm_xxx_dw}
{cwm_brd,cwm_fdb}
{cwm_brd,cwm_xxx_dw}
{cwm_fdb,cwm_xxx_dw}
{cwm_tool,cwm_tool_dw,cwm_tool_uo}
{cwm_txt,cwm_txt_dw,cwm_txt_uo}
{cwm_app,cwm_txt,cwm_txt_dw}
{cwm_app,cwm_txt,cwm_txt_uo}
{cwm_app,cwm_pai_dw,cwm_pai_uo}
{cwm_prev,cwm_prev_dw,cwm_prev_uo}
{cwm_liq,cwm_liq_2,cwm_liq_dw_1}
{cwm_liq,cwm_liq_2,cwm_liq_dw_2}
{cwm_liq,cwm_liq_2,cwm_liq_uo}
{cwm_noe_dw_1,cwm_noe_lec,cwm_noe_liq}
{cwm_edi_uo,cwm_noe_lec,cwm_noe_liq}
{cwm_noe,cwm_noe_lec,cwm_noe_liq}
{cwm_app,cwm_tool_dw,cwm_tool_uo}
{cwm_fdb,cwm_tool_dw,cwm_tool_uo}
{cwm_app,cwm_fdb,cwm_tool_dw}
{cwm_liq_dw_2,cwm_liq_uo,cwm_noe_dw_1}
{cwm_liq_uo,cwm_noe_dw_1,cwm_noe_liq}
{cwm_app,cwm_fdb,cwm_tool_uo}
{cwm_app,cwm_fdb,cwm_trt}
{cwm_abc,cwm_prt,cwm_prt_uo}
{cwm_abc,cwm_app,cwm_fdb}
{cwm_xxx_dw,cwm_xxx_dw_2,cwm_xxx_dw_3}
{cwm_app,cwm_txt_dw,cwm_txt_uo}
{cwm_fdb,cwm_txt_dw,cwm_txt_uo}
{cwm_app,cwm_fdb,cwm_txt_dw}
{cwm_liq,cwm_liq_dw_1,cwm_liq_dw_2}
{cwm_liq_dw_1,cwm_liq_dw_2,cwm_liq_uo}
{cwm_liq,cwm_liq_dw_1,cwm_liq_uo}
{cwm_fdb,cwm_liq,cwm_liq_dw_1}
{cwm_liq,cwm_liq_dw_2,cwm_liq_uo}
{cwm_liq,cwm_liq_uo,cwm_noe_liq}
{cwm_app,cwm_fdb,cwm_txt_uo}
{cwm_prt,cwm_prt_dw,cwm_prt_uo}
{cwm_app,cwm_prt_dw,cwm_prt_uo}
{cwm_fdb,cwm_prt_dw,cwm_prt_uo}
{cwm_app,cwm_prt,cwm_prt_dw}
{cwm_fdb,cwm_prt,cwm_prt_dw}
{cwm_app,cwm_fdb,cwm_prt_dw}
{cwm_app,cwm_cot_uo,cwm_fdb}
{cwm_app,cwm_prt,cwm_prt_uo}
{cwm_fdb,cwm_prt,cwm_prt_uo}
{cwm_app,cwm_fdb,cwm_prt_uo}
{cwm_app,cwm_liq,cwm_liq_uo}
{cwm_fdb,cwm_liq,cwm_liq_uo}
{cwm_app,cwm_fdb,cwm_liq}
{cwm_app,cwm_fdb,cwm_prt}
{cwm_brd,cwm_fdb,cwm_tpy_uo}
{cwm_brd,cwm_tpy_uo,cwm_xxx_dw}
{cwm_fdb,cwm_tpy_uo,cwm_xxx_dw}
{cwm_brd,cwm_fdb,cwm_xxx_dw}
{cwm_app,cwm_txt,cwm_txt_dw,cwm_txt_uo}
{cwm_app,cwm_fdb,cwm_txt_dw,cwm_txt_uo}
{cwm_liq,cwm_liq_dw_1,cwm_liq_dw_2,cwm_liq_uo}
{cwm_brd,cwm_fdb,cwm_tpy_uo,cwm_xxx_dw}
