Time,evolution,corretion
February 2004,0,7
March 2004,0,0
April 2004,0,0
May 2004,3,0
June 2004,0,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,0,0
November 2004,0,2
December 2004,2,0
January 2005,1,0
February 2005,3,0
March 2005,2,0
April 2005,0,0
May 2005,0,3
June 2005,4,0
July 2005,0,0
August 2005,2,2
September 2005,0,0
October 2005,0,0
November 2005,0,3
December 2005,1,0
January 2006,2,0
February 2006,2,0
March 2006,1,0
April 2006,1,0
May 2006,6,0
June 2006,0,0
July 2006,6,6
August 2006,2,0
September 2006,3,2
October 2006,0,2
November 2006,0,0
December 2006,2,3
January 2007,2,0
February 2007,4,0
March 2007,0,0
April 2007,0,2
May 2007,0,2
June 2007,0,0
July 2007,0,0
August 2007,0,0
September 2007,4,0
October 2007,2,0
November 2007,1,0
December 2007,7,0
January 2008,1,3
February 2008,6,0
March 2008,0,0
April 2008,9,0
May 2008,1,0
June 2008,0,3
July 2008,0,0
August 2008,1,1
September 2008,2,1
October 2008,0,3
November 2008,16,1
December 2008,12,2
January 2009,7,1
February 2009,1,12
March 2009,4,7
April 2009,5,0
May 2009,2,0
June 2009,3,0
July 2009,1,6
August 2009,2,0
September 2009,5,7
October 2009,2,0
November 2009,0,0
December 2009,3,2
January 2010,5,0
February 2010,3,0
March 2010,4,1
April 2010,2,0
May 2010,4,0
June 2010,15,0
July 2010,0,2
August 2010,1,0
September 2010,0,8
October 2010,0,0
November 2010,1,1
December 2010,3,2
January 2011,11,4
February 2011,6,0
March 2011,9,2
April 2011,0,2
May 2011,1,0
June 2011,0,0
July 2011,0,2
August 2011,0,0
September 2011,5,5
October 2011,0,3
November 2011,1,3
December 2011,0,0
January 2012,2,0
February 2012,4,10
March 2012,4,2
April 2012,0,0
May 2012,6,0
June 2012,1,3
July 2012,0,5
August 2012,0,3
September 2012,6,0
October 2012,0,0
November 2012,0,2
December 2012,6,6
January 2013,5,0
February 2013,0,0
March 2013,0,0
April 2013,0,0
May 2013,0,0
June 2013,0,0
July 2013,11,0
August 2013,2,0
September 2013,0,3
October 2013,0,0
November 2013,5,0
December 2013,0,5
January 2014,3,2
February 2014,0,2
March 2014,0,0
April 2014,3,0
May 2014,6,0
June 2014,2,3
July 2014,4,7
August 2014,3,0
September 2014,4,3
October 2014,1,0
November 2014,0,0
December 2014,0,0
January 2015,2,2
February 2015,5,9
March 2015,2,4
April 2015,21,0
May 2015,7,2
June 2015,0,7
July 2015,2,0
August 2015,0,0
September 2015,0,5
October 2015,6,0
November 2015,0,5
December 2015,0,0
January 2016,0,5
February 2016,0,2
March 2016,0,5
April 2016,0,0
May 2016,2,0
June 2016,0,4
July 2016,0,4
August 2016,0,0
September 2016,2,0
October 2016,0,0
November 2016,0,0
December 2016,0,0
January 2017,0,12
February 2017,0,1
March 2017,7,0
April 2017,7,2
May 2017,0,0
June 2017,0,0
July 2017,15,0
August 2017,3,0
September 2017,1,0
October 2017,0,5
November 2017,0,0
December 2017,0,5
January 2018,0,8
February 2018,2,2
March 2018,4,0
April 2018,0,0
May 2018,0,0
June 2018,3,0
July 2018,0,0
August 2018,0,3
September 2018,0,3
October 2018,11,1
