Time,evolution,corretion
January 2004,2,0
February 2004,0,0
March 2004,4,0
April 2004,1,0
May 2004,0,0
June 2004,9,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,20,0
November 2004,2,2
December 2004,2,0
January 2005,2,0
February 2005,14,0
March 2005,4,2
April 2005,4,0
May 2005,6,0
June 2005,9,5
July 2005,3,5
August 2005,5,0
September 2005,10,0
October 2005,5,0
November 2005,11,0
December 2005,6,0
January 2006,15,4
February 2006,7,9
March 2006,10,5
April 2006,4,0
May 2006,4,0
June 2006,2,0
July 2006,26,2
August 2006,14,0
September 2006,7,8
October 2006,2,8
November 2006,5,0
December 2006,11,0
January 2007,2,2
February 2007,4,3
March 2007,10,1
April 2007,17,3
May 2007,12,13
June 2007,1,0
July 2007,7,0
August 2007,13,4
September 2007,5,6
October 2007,8,4
November 2007,0,7
December 2007,6,0
January 2008,10,4
February 2008,9,0
March 2008,7,6
April 2008,26,0
May 2008,39,0
June 2008,14,0
July 2008,13,3
August 2008,7,1
September 2008,2,0
October 2008,7,5
November 2008,4,2
December 2008,38,0
January 2009,12,4
February 2009,18,5
March 2009,9,6
April 2009,13,0
May 2009,3,2
June 2009,18,1
July 2009,9,5
August 2009,7,5
September 2009,8,10
October 2009,17,3
November 2009,32,6
December 2009,26,2
January 2010,14,4
February 2010,21,5
March 2010,22,8
April 2010,10,2
May 2010,29,2
June 2010,20,4
July 2010,11,13
August 2010,3,5
September 2010,24,1
October 2010,11,2
November 2010,21,7
December 2010,17,0
January 2011,15,1
February 2011,17,4
March 2011,31,6
April 2011,11,9
May 2011,13,8
June 2011,0,8
July 2011,7,6
August 2011,5,0
September 2011,10,0
October 2011,1,11
November 2011,8,1
December 2011,8,4
January 2012,13,8
February 2012,28,0
March 2012,12,0
April 2012,6,8
May 2012,1,10
June 2012,4,6
July 2012,8,2
August 2012,4,10
September 2012,16,0
October 2012,6,0
November 2012,8,11
December 2012,9,14
January 2013,14,0
February 2013,1,0
March 2013,15,0
April 2013,3,0
May 2013,3,2
June 2013,10,5
July 2013,23,1
August 2013,15,2
September 2013,2,0
October 2013,4,3
November 2013,9,4
December 2013,13,3
January 2014,8,3
February 2014,11,0
March 2014,7,2
April 2014,8,2
May 2014,4,3
June 2014,6,3
July 2014,15,8
August 2014,13,5
September 2014,16,3
October 2014,12,4
November 2014,7,2
December 2014,0,0
January 2015,8,5
February 2015,7,5
March 2015,9,0
April 2015,10,4
May 2015,4,2
June 2015,7,0
July 2015,6,5
August 2015,13,0
September 2015,16,3
October 2015,1,0
November 2015,4,4
December 2015,2,4
January 2016,2,2
February 2016,14,3
March 2016,3,13
April 2016,11,1
May 2016,4,1
June 2016,0,1
July 2016,8,7
August 2016,2,0
September 2016,11,0
October 2016,3,0
November 2016,6,0
December 2016,3,2
January 2017,5,7
February 2017,4,0
March 2017,9,0
April 2017,10,8
May 2017,5,1
June 2017,4,0
July 2017,10,9
August 2017,0,0
September 2017,6,11
October 2017,5,6
November 2017,0,3
December 2017,3,3
January 2018,6,22
February 2018,6,0
March 2018,11,8
April 2018,1,1
May 2018,1,2
June 2018,4,2
July 2018,2,7
August 2018,0,17
September 2018,3,0
October 2018,6,4
November 2018,3,0
December 2018,0,0
January 2019,0,0
February 2019,2,3
