Time,evolution,corretion
March 2004,0,1
April 2004,0,0
May 2004,0,0
June 2004,1,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,10,0
November 2004,1,0
December 2004,4,0
January 2005,0,1
February 2005,4,6
March 2005,1,8
April 2005,3,6
May 2005,5,7
June 2005,8,11
July 2005,5,5
August 2005,7,4
September 2005,4,3
October 2005,1,9
November 2005,11,4
December 2005,6,1
January 2006,1,0
February 2006,2,1
March 2006,5,0
April 2006,5,3
May 2006,6,2
June 2006,2,1
July 2006,3,0
August 2006,0,3
September 2006,1,0
October 2006,6,2
November 2006,7,0
December 2006,9,1
January 2007,9,6
February 2007,0,2
March 2007,1,8
April 2007,5,7
May 2007,2,10
June 2007,2,5
July 2007,1,0
August 2007,0,1
September 2007,1,5
October 2007,6,7
November 2007,9,5
December 2007,1,0
January 2008,9,2
February 2008,3,0
March 2008,1,5
April 2008,8,8
May 2008,5,2
June 2008,12,4
July 2008,0,0
August 2008,3,3
September 2008,1,1
October 2008,14,3
November 2008,2,5
December 2008,8,8
January 2009,13,4
February 2009,5,2
March 2009,6,2
April 2009,0,4
May 2009,3,8
June 2009,2,1
July 2009,2,0
August 2009,3,0
September 2009,8,0
October 2009,1,8
November 2009,4,2
December 2009,3,2
January 2010,9,0
February 2010,8,1
March 2010,5,1
April 2010,8,0
May 2010,1,0
June 2010,2,0
July 2010,3,0
August 2010,1,0
September 2010,1,5
October 2010,6,4
November 2010,4,0
December 2010,6,2
January 2011,6,3
February 2011,7,2
March 2011,11,3
April 2011,3,5
May 2011,2,6
June 2011,2,4
July 2011,6,3
August 2011,4,0
September 2011,5,1
October 2011,8,0
November 2011,10,3
December 2011,2,5
January 2012,3,7
February 2012,8,6
March 2012,4,7
April 2012,4,0
May 2012,3,0
June 2012,8,28
July 2012,9,7
August 2012,1,2
September 2012,0,0
October 2012,5,13
November 2012,9,8
December 2012,2,0
January 2013,11,9
February 2013,3,4
March 2013,2,7
April 2013,17,1
May 2013,1,4
June 2013,20,1
July 2013,7,16
August 2013,26,5
September 2013,2,7
October 2013,6,6
November 2013,3,0
December 2013,1,0
January 2014,5,1
February 2014,0,2
March 2014,2,2
April 2014,2,0
May 2014,2,1
June 2014,8,0
July 2014,9,2
August 2014,0,3
September 2014,7,9
October 2014,11,9
November 2014,7,8
December 2014,5,4
January 2015,10,5
February 2015,4,8
March 2015,7,5
April 2015,12,4
May 2015,19,2
June 2015,6,15
July 2015,4,8
August 2015,7,11
September 2015,3,3
October 2015,10,10
November 2015,41,15
December 2015,16,7
January 2016,21,13
February 2016,28,8
March 2016,21,15
April 2016,4,6
May 2016,8,3
June 2016,14,8
July 2016,10,9
August 2016,10,9
September 2016,9,10
October 2016,14,9
November 2016,18,13
December 2016,7,14
January 2017,17,9
February 2017,20,14
March 2017,29,10
April 2017,24,21
May 2017,28,21
June 2017,24,28
July 2017,21,13
August 2017,15,15
September 2017,15,16
October 2017,15,15
November 2017,21,19
December 2017,14,15
January 2018,29,26
February 2018,52,23
March 2018,56,17
April 2018,38,13
May 2018,36,30
June 2018,46,42
July 2018,43,41
August 2018,46,36
September 2018,55,35
October 2018,52,42
November 2018,61,47
December 2018,25,30
January 2019,49,73
February 2019,63,79
March 2019,89,74
