Time,evolution,corretion
March 2005,0,11
April 2005,1,5
May 2005,10,0
June 2005,9,0
July 2005,4,19
August 2005,5,2
September 2005,4,3
October 2005,5,3
November 2005,11,3
December 2005,6,1
January 2006,4,5
February 2006,2,9
March 2006,13,0
April 2006,5,3
May 2006,9,2
June 2006,3,11
July 2006,5,1
August 2006,4,0
September 2006,0,3
October 2006,15,5
November 2006,6,0
December 2006,6,1
January 2007,3,3
February 2007,7,0
March 2007,12,0
April 2007,3,2
May 2007,10,8
June 2007,28,6
July 2007,3,3
August 2007,7,6
September 2007,9,8
October 2007,12,0
November 2007,8,8
December 2007,12,0
January 2008,13,2
February 2008,23,4
March 2008,2,6
April 2008,14,9
May 2008,9,2
June 2008,20,2
July 2008,0,2
August 2008,6,2
September 2008,0,2
October 2008,8,7
November 2008,5,4
December 2008,7,2
January 2009,11,3
February 2009,2,9
March 2009,14,13
April 2009,0,2
May 2009,1,3
June 2009,4,0
July 2009,12,2
August 2009,1,0
September 2009,5,0
October 2009,7,2
November 2009,4,5
December 2009,16,3
January 2010,15,2
February 2010,11,0
March 2010,5,7
April 2010,8,11
May 2010,18,12
June 2010,8,0
July 2010,1,0
August 2010,4,0
September 2010,7,5
October 2010,5,0
November 2010,5,0
December 2010,6,0
January 2011,5,8
February 2011,21,0
March 2011,4,0
April 2011,10,2
May 2011,8,6
June 2011,0,3
July 2011,3,5
August 2011,2,0
September 2011,3,0
October 2011,14,0
November 2011,0,1
December 2011,4,0
January 2012,22,11
February 2012,6,9
March 2012,8,0
April 2012,4,7
May 2012,6,2
June 2012,25,7
July 2012,3,2
August 2012,6,0
September 2012,4,9
October 2012,6,3
November 2012,5,2
December 2012,9,0
January 2013,11,2
February 2013,4,2
March 2013,2,0
April 2013,2,3
May 2013,0,5
June 2013,0,2
July 2013,6,9
August 2013,0,18
September 2013,0,8
October 2013,0,0
November 2013,0,0
December 2013,0,0
January 2014,0,3
February 2014,4,15
March 2014,0,8
April 2014,0,0
May 2014,0,0
June 2014,0,1
July 2014,1,10
August 2014,0,0
September 2014,0,0
October 2014,2,2
November 2014,0,0
December 2014,0,0
January 2015,2,4
February 2015,24,0
March 2015,0,3
April 2015,4,0
May 2015,7,2
June 2015,0,0
July 2015,1,0
August 2015,11,2
September 2015,11,6
October 2015,0,0
November 2015,0,0
December 2015,6,0
January 2016,0,5
February 2016,1,5
March 2016,10,3
April 2016,7,7
May 2016,0,0
June 2016,0,0
July 2016,0,0
August 2016,3,3
September 2016,3,0
October 2016,3,2
November 2016,0,10
December 2016,0,4
January 2017,5,0
February 2017,0,0
March 2017,8,0
April 2017,12,0
May 2017,0,0
June 2017,5,0
July 2017,0,10
August 2017,0,0
September 2017,0,0
October 2017,4,3
November 2017,0,0
December 2017,0,0
January 2018,0,8
February 2018,0,0
March 2018,0,0
April 2018,0,0
May 2018,0,0
June 2018,0,2
July 2018,0,0
August 2018,0,1
