Time,evolution,corretion
November 2004,2,0
December 2004,0,0
January 2005,0,0
February 2005,3,3
March 2005,0,0
April 2005,0,0
May 2005,0,0
June 2005,0,4
July 2005,0,0
August 2005,4,0
September 2005,0,0
October 2005,0,0
November 2005,3,0
December 2005,0,0
January 2006,0,0
February 2006,8,0
March 2006,0,0
April 2006,4,0
May 2006,0,2
June 2006,3,3
July 2006,0,6
August 2006,0,0
September 2006,0,0
October 2006,0,0
November 2006,0,0
December 2006,0,0
January 2007,0,0
February 2007,0,0
March 2007,1,0
April 2007,0,0
May 2007,0,0
June 2007,0,0
July 2007,2,0
August 2007,1,0
September 2007,0,0
October 2007,8,0
November 2007,0,0
December 2007,0,0
January 2008,0,0
February 2008,1,0
March 2008,0,0
April 2008,4,0
May 2008,0,4
June 2008,0,0
July 2008,2,0
August 2008,0,0
September 2008,2,0
October 2008,0,2
November 2008,0,0
December 2008,0,4
January 2009,2,0
February 2009,0,0
March 2009,0,0
April 2009,0,0
May 2009,2,0
June 2009,0,0
July 2009,0,8
August 2009,0,0
September 2009,0,0
October 2009,0,0
November 2009,0,0
December 2009,0,2
January 2010,0,0
February 2010,2,2
March 2010,0,0
April 2010,0,0
May 2010,0,0
June 2010,0,5
July 2010,0,0
August 2010,0,0
September 2010,0,2
October 2010,2,0
November 2010,0,0
December 2010,0,0
January 2011,0,1
February 2011,0,0
March 2011,0,3
April 2011,0,0
May 2011,2,0
June 2011,0,14
July 2011,0,0
August 2011,0,0
September 2011,0,0
October 2011,0,0
November 2011,0,0
December 2011,0,0
January 2012,0,1
February 2012,0,0
March 2012,3,0
April 2012,0,0
May 2012,0,0
June 2012,0,1
July 2012,0,0
August 2012,2,2
September 2012,0,0
October 2012,2,0
November 2012,0,0
December 2012,0,0
January 2013,0,0
February 2013,0,0
March 2013,0,0
April 2013,0,0
May 2013,0,0
June 2013,0,3
July 2013,20,0
August 2013,0,0
September 2013,4,0
October 2013,0,0
November 2013,8,0
December 2013,0,8
January 2014,0,14
February 2014,0,8
March 2014,2,6
April 2014,0,0
May 2014,0,0
June 2014,0,2
July 2014,0,0
August 2014,0,2
September 2014,0,0
October 2014,0,0
November 2014,0,0
December 2014,0,0
January 2015,0,0
February 2015,0,0
March 2015,0,0
April 2015,0,0
May 2015,4,3
June 2015,0,0
July 2015,0,0
August 2015,0,0
September 2015,0,0
October 2015,0,0
November 2015,0,4
December 2015,0,3
January 2016,0,0
February 2016,0,3
March 2016,0,5
April 2016,0,0
May 2016,0,0
June 2016,0,0
July 2016,0,0
August 2016,0,0
September 2016,2,0
October 2016,0,0
November 2016,0,0
December 2016,0,0
January 2017,0,0
February 2017,0,0
March 2017,19,0
April 2017,0,0
May 2017,0,0
June 2017,1,0
July 2017,0,0
August 2017,0,0
September 2017,0,0
October 2017,0,0
November 2017,0,0
December 2017,0,0
January 2018,9,0
February 2018,8,0
March 2018,0,0
April 2018,0,0
May 2018,0,0
June 2018,0,0
July 2018,0,0
August 2018,0,5
September 2018,2,0
October 2018,0,0
November 2018,0,0
December 2018,0,0
January 2019,0,0
February 2019,2,0
