Time,evolution,corretion
August 2003,1,0
September 2003,0,0
October 2003,2,0
November 2003,0,0
December 2003,0,0
January 2004,0,0
February 2004,0,0
March 2004,0,0
April 2004,0,0
May 2004,10,1
June 2004,0,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,1,3
November 2004,0,0
December 2004,3,1
January 2005,4,2
February 2005,16,6
March 2005,8,9
April 2005,5,6
May 2005,0,5
June 2005,2,7
July 2005,3,7
August 2005,0,3
September 2005,3,0
October 2005,0,9
November 2005,12,11
December 2005,7,7
January 2006,4,14
February 2006,4,21
March 2006,7,8
April 2006,1,7
May 2006,6,5
June 2006,2,13
July 2006,13,2
August 2006,0,7
September 2006,8,1
October 2006,9,3
November 2006,7,3
December 2006,12,8
January 2007,11,9
February 2007,10,5
March 2007,6,11
April 2007,11,40
May 2007,4,20
June 2007,6,11
July 2007,10,26
August 2007,2,17
September 2007,14,9
October 2007,21,17
November 2007,11,8
December 2007,9,41
January 2008,9,59
February 2008,5,25
March 2008,12,31
April 2008,16,55
May 2008,19,32
June 2008,1,24
July 2008,11,18
August 2008,10,39
September 2008,12,13
October 2008,9,25
November 2008,10,59
December 2008,5,37
January 2009,17,27
February 2009,2,10
March 2009,3,14
April 2009,7,20
May 2009,2,4
June 2009,5,18
July 2009,1,15
August 2009,7,21
September 2009,7,2
October 2009,2,6
November 2009,7,21
December 2009,20,13
January 2010,3,25
February 2010,8,18
March 2010,6,26
April 2010,4,17
May 2010,10,7
June 2010,10,10
July 2010,6,11
August 2010,13,5
September 2010,13,8
October 2010,16,12
November 2010,22,11
December 2010,16,18
January 2011,7,15
February 2011,15,21
March 2011,6,19
April 2011,8,20
May 2011,1,13
June 2011,0,29
July 2011,11,19
August 2011,11,20
September 2011,6,25
October 2011,0,4
November 2011,5,9
December 2011,20,12
January 2012,1,12
February 2012,10,20
March 2012,4,26
April 2012,7,7
May 2012,0,7
June 2012,6,14
July 2012,10,16
August 2012,2,12
September 2012,8,9
October 2012,0,14
November 2012,0,2
December 2012,0,10
January 2013,6,18
February 2013,5,16
March 2013,4,5
April 2013,0,10
May 2013,0,2
June 2013,2,7
July 2013,0,12
August 2013,2,0
September 2013,0,5
October 2013,4,6
November 2013,3,5
December 2013,8,5
January 2014,16,8
February 2014,0,0
March 2014,6,5
April 2014,19,2
May 2014,2,2
June 2014,12,1
July 2014,6,10
August 2014,0,2
September 2014,6,11
October 2014,2,3
November 2014,4,2
December 2014,32,12
January 2015,12,9
February 2015,3,6
March 2015,2,26
April 2015,11,7
May 2015,22,8
June 2015,3,0
July 2015,4,9
August 2015,2,6
September 2015,0,3
October 2015,2,2
November 2015,2,12
December 2015,7,5
January 2016,0,7
February 2016,2,23
March 2016,41,10
April 2016,0,6
May 2016,8,0
June 2016,0,2
July 2016,30,0
August 2016,0,0
September 2016,20,9
October 2016,0,3
November 2016,0,8
December 2016,0,2
January 2017,0,5
February 2017,0,8
March 2017,13,9
April 2017,0,3
May 2017,0,0
June 2017,12,0
July 2017,9,0
August 2017,4,5
September 2017,15,13
October 2017,0,5
November 2017,0,7
December 2017,0,0
January 2018,3,7
February 2018,5,0
March 2018,3,3
April 2018,0,0
May 2018,0,0
June 2018,3,4
July 2018,0,0
August 2018,12,3
September 2018,26,2
October 2018,3,0
November 2018,5,0
December 2018,6,3
January 2019,5,7
February 2019,8,3
