Time,evolution,corretion
November 2004,1,0
December 2004,0,0
January 2005,0,0
February 2005,5,0
March 2005,2,6
April 2005,0,7
May 2005,1,0
June 2005,4,3
July 2005,5,11
August 2005,0,19
September 2005,0,6
October 2005,0,9
November 2005,0,8
December 2005,0,7
January 2006,5,3
February 2006,0,2
March 2006,2,4
April 2006,6,0
May 2006,0,0
June 2006,0,0
July 2006,4,0
August 2006,0,0
September 2006,0,5
October 2006,6,4
November 2006,4,0
December 2006,10,2
January 2007,0,0
February 2007,0,3
March 2007,9,2
April 2007,7,0
May 2007,0,0
June 2007,0,0
July 2007,0,6
August 2007,3,0
September 2007,7,2
October 2007,10,4
November 2007,3,0
December 2007,6,0
January 2008,0,0
February 2008,0,8
March 2008,0,2
April 2008,10,5
May 2008,0,11
June 2008,0,0
July 2008,0,0
August 2008,0,0
September 2008,4,10
October 2008,0,0
November 2008,0,4
December 2008,0,2
January 2009,2,3
February 2009,0,4
March 2009,0,0
April 2009,0,1
May 2009,0,0
June 2009,1,0
July 2009,0,0
August 2009,0,0
September 2009,2,0
October 2009,6,7
November 2009,0,0
December 2009,1,2
January 2010,4,4
February 2010,3,5
March 2010,9,0
April 2010,4,7
May 2010,0,0
June 2010,3,6
July 2010,0,0
August 2010,3,0
September 2010,0,1
October 2010,2,3
November 2010,5,1
December 2010,20,0
January 2011,2,0
February 2011,0,2
March 2011,2,5
April 2011,0,0
May 2011,0,0
June 2011,0,3
July 2011,2,0
August 2011,0,0
September 2011,1,2
October 2011,0,19
November 2011,0,0
December 2011,0,5
January 2012,0,0
February 2012,0,0
March 2012,0,2
April 2012,0,0
May 2012,2,0
June 2012,0,0
July 2012,6,0
August 2012,0,0
September 2012,10,4
October 2012,0,0
November 2012,0,0
December 2012,2,0
January 2013,3,0
February 2013,2,3
March 2013,4,0
April 2013,0,0
May 2013,4,0
June 2013,4,3
July 2013,11,0
August 2013,0,0
September 2013,0,2
October 2013,0,6
November 2013,3,3
December 2013,3,8
January 2014,4,4
February 2014,0,0
March 2014,3,0
April 2014,2,0
May 2014,0,5
June 2014,0,1
July 2014,0,0
August 2014,0,0
September 2014,9,0
October 2014,0,0
November 2014,0,3
December 2014,3,0
January 2015,0,0
February 2015,0,0
March 2015,0,2
April 2015,0,0
May 2015,0,0
June 2015,0,0
July 2015,2,10
August 2015,0,2
September 2015,0,0
October 2015,0,0
November 2015,2,5
December 2015,0,18
January 2016,0,0
February 2016,0,0
March 2016,0,0
April 2016,0,0
May 2016,0,6
June 2016,0,6
July 2016,0,0
August 2016,0,0
September 2016,2,12
October 2016,0,2
November 2016,0,0
December 2016,0,0
January 2017,0,11
February 2017,14,0
March 2017,0,0
April 2017,0,0
May 2017,0,7
June 2017,0,0
July 2017,6,0
August 2017,0,9
September 2017,1,0
October 2017,3,0
November 2017,0,0
December 2017,0,0
January 2018,0,2
February 2018,2,0
March 2018,16,0
April 2018,0,0
May 2018,0,2
June 2018,0,0
July 2018,0,0
August 2018,2,3
September 2018,0,0
October 2018,6,0
