Time,evolution,corretion
January 2004,1,0
February 2004,0,0
March 2004,0,0
April 2004,0,0
May 2004,0,0
June 2004,0,0
July 2004,0,0
August 2004,6,0
September 2004,0,0
October 2004,1,0
November 2004,0,0
December 2004,5,2
January 2005,2,0
February 2005,9,0
March 2005,4,10
April 2005,0,3
May 2005,0,3
June 2005,2,3
July 2005,2,0
August 2005,5,0
September 2005,7,0
October 2005,3,2
November 2005,3,0
December 2005,0,3
January 2006,14,3
February 2006,0,0
March 2006,7,4
April 2006,2,0
May 2006,17,0
June 2006,6,3
July 2006,0,7
August 2006,0,0
September 2006,0,1
October 2006,5,0
November 2006,2,0
December 2006,0,0
January 2007,1,5
February 2007,0,3
March 2007,0,5
April 2007,3,6
May 2007,5,4
June 2007,2,0
July 2007,3,0
August 2007,1,4
September 2007,2,0
October 2007,0,6
November 2007,0,4
December 2007,3,0
January 2008,0,0
February 2008,1,0
March 2008,0,0
April 2008,0,2
May 2008,0,2
June 2008,1,0
July 2008,0,0
August 2008,0,0
September 2008,2,0
October 2008,0,0
November 2008,0,3
December 2008,0,0
January 2009,0,0
February 2009,6,0
March 2009,0,0
April 2009,0,0
May 2009,0,0
June 2009,1,2
July 2009,0,0
August 2009,6,0
September 2009,0,5
October 2009,6,2
November 2009,4,6
December 2009,10,6
January 2010,6,6
February 2010,8,3
March 2010,7,6
April 2010,3,0
May 2010,2,0
June 2010,8,5
July 2010,0,0
August 2010,0,0
September 2010,2,2
October 2010,0,0
November 2010,0,0
December 2010,19,3
January 2011,0,2
February 2011,26,2
March 2011,5,2
April 2011,10,1
May 2011,15,14
June 2011,0,3
July 2011,0,8
August 2011,0,9
September 2011,0,0
October 2011,2,4
November 2011,1,0
December 2011,1,0
January 2012,1,5
February 2012,0,11
March 2012,0,0
April 2012,2,0
May 2012,15,0
June 2012,0,0
July 2012,6,3
August 2012,0,12
September 2012,0,0
October 2012,5,0
November 2012,1,0
December 2012,8,0
January 2013,1,0
February 2013,0,0
March 2013,0,0
April 2013,3,0
May 2013,0,0
June 2013,0,2
July 2013,0,2
August 2013,0,0
September 2013,0,0
October 2013,0,0
November 2013,0,0
December 2013,25,6
January 2014,41,0
February 2014,2,0
March 2014,10,2
April 2014,0,1
May 2014,0,0
June 2014,0,0
July 2014,13,16
August 2014,6,4
September 2014,4,0
October 2014,2,7
November 2014,2,4
December 2014,0,2
January 2015,0,7
February 2015,2,4
March 2015,0,8
April 2015,5,14
May 2015,0,4
June 2015,8,6
July 2015,0,19
August 2015,0,0
September 2015,0,27
October 2015,0,6
November 2015,3,3
December 2015,0,2
January 2016,0,0
February 2016,20,0
March 2016,0,3
April 2016,0,0
May 2016,0,0
June 2016,0,0
July 2016,0,0
August 2016,0,0
September 2016,4,0
October 2016,0,0
November 2016,0,0
December 2016,0,3
January 2017,0,1
February 2017,0,0
March 2017,0,0
April 2017,0,0
May 2017,0,0
June 2017,0,0
July 2017,0,0
August 2017,0,4
September 2017,0,0
October 2017,0,0
November 2017,0,0
December 2017,0,0
January 2018,2,0
February 2018,0,0
March 2018,2,0
April 2018,0,0
May 2018,0,0
June 2018,0,0
July 2018,0,0
August 2018,0,3
September 2018,1,0
October 2018,3,0
