Time,evolution,corretion
March 2004,2,1
April 2004,0,0
May 2004,0,0
June 2004,2,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,6,0
November 2004,1,0
December 2004,4,0
January 2005,2,1
February 2005,14,6
March 2005,3,5
April 2005,1,6
May 2005,9,7
June 2005,11,11
July 2005,5,3
August 2005,15,4
September 2005,8,3
October 2005,6,8
November 2005,12,6
December 2005,4,0
January 2006,10,0
February 2006,12,1
March 2006,7,7
April 2006,7,3
May 2006,5,2
June 2006,5,1
July 2006,18,0
August 2006,2,6
September 2006,1,1
October 2006,1,2
November 2006,2,0
December 2006,6,1
January 2007,9,1
February 2007,3,1
March 2007,3,4
April 2007,9,5
May 2007,1,14
June 2007,11,16
July 2007,5,3
August 2007,11,1
September 2007,8,16
October 2007,22,5
November 2007,6,5
December 2007,10,0
January 2008,15,2
February 2008,7,6
March 2008,8,8
April 2008,17,9
May 2008,6,4
June 2008,12,7
July 2008,0,0
August 2008,12,0
September 2008,5,5
October 2008,12,4
November 2008,10,0
December 2008,17,6
January 2009,19,7
February 2009,7,3
March 2009,9,2
April 2009,13,0
May 2009,11,1
June 2009,18,2
July 2009,17,3
August 2009,2,6
September 2009,8,5
October 2009,5,2
November 2009,15,0
December 2009,21,14
January 2010,6,0
February 2010,6,4
March 2010,13,1
April 2010,9,3
May 2010,22,0
June 2010,9,7
July 2010,7,3
August 2010,4,0
September 2010,10,3
October 2010,6,3
November 2010,12,2
December 2010,12,3
January 2011,10,0
February 2011,11,3
March 2011,18,13
April 2011,11,8
May 2011,17,3
June 2011,4,13
July 2011,15,4
August 2011,7,0
September 2011,14,1
October 2011,10,1
November 2011,1,1
December 2011,9,5
January 2012,7,10
February 2012,31,5
March 2012,17,8
April 2012,4,14
May 2012,25,4
June 2012,0,6
July 2012,7,4
August 2012,3,7
September 2012,15,3
October 2012,1,6
November 2012,0,2
December 2012,3,12
January 2013,16,3
February 2013,4,4
March 2013,7,5
April 2013,1,4
May 2013,1,1
June 2013,24,1
July 2013,18,2
August 2013,5,0
September 2013,2,12
October 2013,8,10
November 2013,15,5
December 2013,9,7
January 2014,15,3
February 2014,14,1
March 2014,9,6
April 2014,13,10
May 2014,7,4
June 2014,5,3
July 2014,10,5
August 2014,8,3
September 2014,14,11
October 2014,22,10
November 2014,15,8
December 2014,10,10
January 2015,7,13
February 2015,6,11
March 2015,8,9
April 2015,9,4
May 2015,12,5
June 2015,6,8
July 2015,8,5
August 2015,16,2
September 2015,8,6
October 2015,5,5
November 2015,41,10
December 2015,16,9
January 2016,29,9
February 2016,31,5
March 2016,21,9
April 2016,4,8
May 2016,21,1
June 2016,20,8
July 2016,20,6
August 2016,7,9
September 2016,21,12
October 2016,17,9
November 2016,21,6
December 2016,7,9
January 2017,18,9
February 2017,23,14
March 2017,35,12
April 2017,28,33
May 2017,29,21
June 2017,23,32
July 2017,26,17
August 2017,57,13
September 2017,36,16
October 2017,15,15
November 2017,26,19
December 2017,16,14
January 2018,37,28
February 2018,52,23
March 2018,62,17
April 2018,42,13
May 2018,39,30
June 2018,54,44
July 2018,43,43
August 2018,46,39
September 2018,62,35
October 2018,61,44
November 2018,55,47
December 2018,25,30
January 2019,51,69
February 2019,63,79
March 2019,89,74
