Time,evolution,corretion
September 2003,1,0
October 2003,0,0
November 2003,0,0
December 2003,0,4
January 2004,0,0
February 2004,0,0
March 2004,0,0
April 2004,0,0
May 2004,0,0
June 2004,0,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,6,0
November 2004,1,0
December 2004,2,0
January 2005,3,9
February 2005,27,7
March 2005,10,27
April 2005,7,16
May 2005,3,21
June 2005,3,1
July 2005,8,7
August 2005,9,2
September 2005,6,6
October 2005,5,9
November 2005,6,5
December 2005,8,6
January 2006,14,17
February 2006,41,23
March 2006,7,12
April 2006,6,17
May 2006,21,7
June 2006,33,25
July 2006,3,17
August 2006,3,3
September 2006,9,4
October 2006,6,7
November 2006,10,4
December 2006,6,4
January 2007,0,12
February 2007,3,14
March 2007,22,16
April 2007,13,21
May 2007,3,3
June 2007,7,7
July 2007,7,10
August 2007,11,6
September 2007,6,24
October 2007,21,22
November 2007,21,8
December 2007,17,0
January 2008,11,3
February 2008,14,11
March 2008,3,13
April 2008,30,11
May 2008,2,0
June 2008,3,9
July 2008,3,13
August 2008,2,11
September 2008,13,8
October 2008,2,35
November 2008,0,19
December 2008,9,3
January 2009,14,0
February 2009,3,17
March 2009,15,6
April 2009,13,2
May 2009,18,3
June 2009,11,6
July 2009,13,0
August 2009,10,11
September 2009,13,17
October 2009,2,25
November 2009,13,11
December 2009,16,16
January 2010,10,17
February 2010,2,5
March 2010,12,13
April 2010,3,9
May 2010,25,3
June 2010,4,1
July 2010,11,4
August 2010,9,9
September 2010,16,0
October 2010,4,7
November 2010,18,7
December 2010,43,13
January 2011,8,11
February 2011,18,28
March 2011,23,20
April 2011,12,24
May 2011,13,11
June 2011,2,13
July 2011,2,25
August 2011,2,3
September 2011,9,9
October 2011,11,11
November 2011,5,8
December 2011,4,8
January 2012,2,30
February 2012,21,8
March 2012,22,30
April 2012,0,18
May 2012,16,20
June 2012,3,2
July 2012,7,22
August 2012,3,6
September 2012,3,8
October 2012,2,16
November 2012,0,4
December 2012,6,8
January 2013,6,6
February 2013,0,1
March 2013,9,0
April 2013,0,8
May 2013,4,5
June 2013,4,15
July 2013,20,7
August 2013,6,9
September 2013,0,6
October 2013,2,3
November 2013,0,3
December 2013,0,7
January 2014,4,2
February 2014,10,17
March 2014,3,5
April 2014,7,0
May 2014,0,17
June 2014,0,15
July 2014,0,18
August 2014,2,0
September 2014,4,10
October 2014,0,4
November 2014,10,0
December 2014,0,2
January 2015,6,9
February 2015,0,5
March 2015,2,4
April 2015,26,3
May 2015,2,14
June 2015,5,9
July 2015,8,6
August 2015,11,0
September 2015,18,4
October 2015,10,2
November 2015,16,6
December 2015,7,6
January 2016,0,15
February 2016,2,6
March 2016,4,20
April 2016,2,17
May 2016,6,12
June 2016,5,10
July 2016,0,4
August 2016,0,36
September 2016,8,19
October 2016,12,2
November 2016,0,10
December 2016,8,13
January 2017,0,7
February 2017,0,8
March 2017,13,12
April 2017,40,13
May 2017,0,11
June 2017,0,1
July 2017,8,10
August 2017,6,22
September 2017,6,11
October 2017,0,3
November 2017,0,12
December 2017,0,9
January 2018,4,9
February 2018,2,0
March 2018,0,5
April 2018,3,2
May 2018,0,0
June 2018,4,9
July 2018,7,4
August 2018,0,14
September 2018,9,0
October 2018,11,10
November 2018,3,7
December 2018,0,0
January 2019,7,0
