Time,evolution,corretion
October 2004,14,0
November 2004,1,0
December 2004,0,0
January 2005,3,0
February 2005,2,3
March 2005,2,12
April 2005,0,15
May 2005,0,6
June 2005,0,5
July 2005,0,5
August 2005,0,5
September 2005,6,3
October 2005,0,4
November 2005,0,2
December 2005,1,5
January 2006,0,8
February 2006,4,16
March 2006,0,0
April 2006,0,3
May 2006,3,0
June 2006,6,0
July 2006,0,5
August 2006,0,0
September 2006,0,3
October 2006,3,12
November 2006,8,10
December 2006,5,0
January 2007,0,12
February 2007,0,8
March 2007,0,12
April 2007,0,15
May 2007,0,4
June 2007,0,0
July 2007,3,16
August 2007,1,0
September 2007,2,5
October 2007,1,6
November 2007,7,0
December 2007,0,0
January 2008,4,7
February 2008,4,3
March 2008,0,4
April 2008,5,0
May 2008,0,0
June 2008,2,6
July 2008,2,0
August 2008,0,0
September 2008,11,0
October 2008,0,9
November 2008,0,6
December 2008,2,0
January 2009,0,0
February 2009,0,4
March 2009,0,3
April 2009,4,2
May 2009,0,4
June 2009,0,0
July 2009,0,0
August 2009,2,3
September 2009,0,0
October 2009,0,1
November 2009,0,0
December 2009,0,10
January 2010,0,0
February 2010,0,6
March 2010,3,5
April 2010,0,0
May 2010,1,0
June 2010,0,4
July 2010,1,0
August 2010,5,0
September 2010,2,9
October 2010,1,4
November 2010,7,3
December 2010,1,6
January 2011,0,2
February 2011,15,5
March 2011,17,2
April 2011,0,3
May 2011,0,4
June 2011,0,0
July 2011,0,2
August 2011,0,12
September 2011,0,6
October 2011,1,3
November 2011,2,2
December 2011,3,2
January 2012,2,4
February 2012,20,0
March 2012,10,0
April 2012,4,2
May 2012,9,0
June 2012,14,0
July 2012,11,2
August 2012,1,0
September 2012,0,0
October 2012,0,6
November 2012,0,7
December 2012,0,0
January 2013,4,0
February 2013,0,0
March 2013,2,2
April 2013,0,11
May 2013,0,0
June 2013,2,4
July 2013,4,2
August 2013,6,3
September 2013,0,0
October 2013,0,5
November 2013,0,7
December 2013,0,0
January 2014,0,0
February 2014,0,1
March 2014,0,3
April 2014,0,0
May 2014,0,4
June 2014,0,2
July 2014,0,0
August 2014,2,0
September 2014,0,0
October 2014,1,0
November 2014,8,0
December 2014,0,0
January 2015,7,23
February 2015,4,1
March 2015,0,0
April 2015,28,0
May 2015,4,2
June 2015,0,4
July 2015,0,5
August 2015,0,0
September 2015,5,2
October 2015,4,0
November 2015,14,5
December 2015,5,0
January 2016,0,5
February 2016,0,3
March 2016,4,4
April 2016,6,10
May 2016,5,10
June 2016,0,4
July 2016,0,2
August 2016,0,11
September 2016,3,6
October 2016,0,0
November 2016,2,0
December 2016,2,2
January 2017,0,7
February 2017,0,17
March 2017,5,0
April 2017,17,0
May 2017,0,0
June 2017,0,0
July 2017,0,12
August 2017,0,16
September 2017,0,0
October 2017,0,1
November 2017,0,2
December 2017,2,0
January 2018,4,12
February 2018,2,0
March 2018,0,0
April 2018,0,0
May 2018,0,0
June 2018,9,4
July 2018,0,0
August 2018,0,3
September 2018,12,0
October 2018,6,0
