Time,evolution,corretion
January 2001,1,0
February 2001,0,0
March 2001,0,0
April 2001,0,0
May 2001,0,0
June 2001,0,0
July 2001,0,0
August 2001,0,0
September 2001,0,0
October 2001,0,0
November 2001,0,0
December 2001,0,0
January 2002,0,0
February 2002,0,0
March 2002,0,0
April 2002,0,0
May 2002,0,0
June 2002,0,0
July 2002,0,0
August 2002,0,0
September 2002,0,0
October 2002,0,0
November 2002,0,0
December 2002,0,0
January 2003,0,0
February 2003,0,0
March 2003,0,0
April 2003,0,0
May 2003,0,0
June 2003,0,0
July 2003,0,0
August 2003,0,0
September 2003,0,0
October 2003,0,0
November 2003,0,0
December 2003,0,0
January 2004,0,0
February 2004,0,0
March 2004,0,0
April 2004,0,0
May 2004,0,0
June 2004,0,0
July 2004,0,0
August 2004,0,16
September 2004,0,0
October 2004,6,0
November 2004,0,0
December 2004,0,0
January 2005,0,0
February 2005,21,0
March 2005,0,2
April 2005,0,0
May 2005,1,8
June 2005,0,0
July 2005,2,0
August 2005,4,3
September 2005,0,4
October 2005,0,4
November 2005,3,4
December 2005,2,2
January 2006,9,0
February 2006,5,3
March 2006,3,4
April 2006,0,2
May 2006,2,3
June 2006,5,0
July 2006,0,0
August 2006,2,0
September 2006,2,0
October 2006,1,0
November 2006,12,0
December 2006,3,0
January 2007,4,1
February 2007,0,6
March 2007,3,4
April 2007,10,4
May 2007,0,1
June 2007,0,6
July 2007,5,3
August 2007,0,0
September 2007,2,3
October 2007,6,0
November 2007,2,0
December 2007,2,0
January 2008,0,2
February 2008,3,0
March 2008,2,0
April 2008,23,5
May 2008,0,0
June 2008,0,0
July 2008,2,2
August 2008,0,2
September 2008,3,0
October 2008,0,5
November 2008,0,2
December 2008,4,2
January 2009,0,0
February 2009,2,0
March 2009,4,3
April 2009,0,2
May 2009,15,0
June 2009,2,1
July 2009,2,0
August 2009,0,0
September 2009,0,5
October 2009,3,3
November 2009,20,0
December 2009,8,4
January 2010,2,0
February 2010,4,3
March 2010,11,3
April 2010,3,2
May 2010,4,3
June 2010,0,3
July 2010,1,3
August 2010,4,0
September 2010,4,0
October 2010,1,7
November 2010,9,0
December 2010,15,1
January 2011,0,0
February 2011,6,12
March 2011,14,4
April 2011,10,0
May 2011,3,0
June 2011,0,4
July 2011,14,2
August 2011,21,6
September 2011,6,1
October 2011,4,5
November 2011,3,3
December 2011,3,3
January 2012,2,3
February 2012,16,5
March 2012,17,4
April 2012,0,11
May 2012,1,0
June 2012,1,0
July 2012,6,7
August 2012,2,3
September 2012,2,2
October 2012,0,3
November 2012,0,8
December 2012,10,8
January 2013,4,0
February 2013,0,3
March 2013,1,2
April 2013,2,2
May 2013,0,0
June 2013,8,3
July 2013,8,2
August 2013,8,0
September 2013,0,3
October 2013,0,0
November 2013,0,0
December 2013,0,2
January 2014,4,3
February 2014,0,0
March 2014,2,0
April 2014,0,0
May 2014,0,1
June 2014,2,0
July 2014,0,1
August 2014,0,0
September 2014,0,0
October 2014,1,1
November 2014,2,0
December 2014,0,5
January 2015,8,4
February 2015,6,2
March 2015,4,0
April 2015,23,5
May 2015,0,3
June 2015,0,2
July 2015,2,8
August 2015,6,0
September 2015,9,0
October 2015,4,0
November 2015,13,0
December 2015,3,5
January 2016,0,5
February 2016,4,8
March 2016,6,5
April 2016,2,0
May 2016,9,0
June 2016,0,5
July 2016,0,3
August 2016,0,14
September 2016,4,8
October 2016,13,0
November 2016,0,0
December 2016,0,4
January 2017,0,10
February 2017,0,4
March 2017,11,6
April 2017,14,4
May 2017,0,0
June 2017,0,0
July 2017,0,0
August 2017,0,0
September 2017,0,0
October 2017,0,0
November 2017,0,0
December 2017,0,6
January 2018,0,18
February 2018,0,0
March 2018,0,4
April 2018,0,0
May 2018,0,5
June 2018,0,0
July 2018,3,0
August 2018,0,4
September 2018,5,0
