Time,evolution,corretion
September 2003,1,0
October 2003,0,0
November 2003,0,0
December 2003,0,0
January 2004,0,0
February 2004,0,0
March 2004,0,0
April 2004,0,0
May 2004,0,0
June 2004,0,0
July 2004,0,0
August 2004,0,6
September 2004,0,0
October 2004,0,2
November 2004,0,0
December 2004,0,0
January 2005,9,6
February 2005,14,11
March 2005,1,12
April 2005,14,16
May 2005,2,21
June 2005,6,10
July 2005,3,0
August 2005,6,13
September 2005,8,13
October 2005,6,2
November 2005,13,15
December 2005,10,7
January 2006,15,11
February 2006,25,28
March 2006,16,18
April 2006,6,12
May 2006,17,7
June 2006,6,1
July 2006,3,2
August 2006,5,6
September 2006,10,12
October 2006,8,13
November 2006,12,7
December 2006,8,5
January 2007,2,7
February 2007,6,12
March 2007,0,7
April 2007,13,28
May 2007,14,10
June 2007,0,8
July 2007,9,0
August 2007,7,2
September 2007,10,18
October 2007,14,19
November 2007,10,5
December 2007,10,6
January 2008,12,11
February 2008,11,9
March 2008,23,32
April 2008,41,8
May 2008,2,4
June 2008,12,4
July 2008,10,19
August 2008,4,14
September 2008,23,6
October 2008,29,42
November 2008,10,41
December 2008,24,16
January 2009,22,21
February 2009,6,17
March 2009,9,10
April 2009,14,13
May 2009,1,5
June 2009,10,13
July 2009,14,24
August 2009,13,13
September 2009,9,14
October 2009,8,19
November 2009,16,12
December 2009,15,11
January 2010,13,17
February 2010,14,8
March 2010,6,4
April 2010,3,16
May 2010,16,7
June 2010,8,9
July 2010,14,8
August 2010,6,11
September 2010,13,3
October 2010,8,11
November 2010,5,4
December 2010,22,6
January 2011,12,0
February 2011,12,22
March 2011,7,23
April 2011,27,9
May 2011,15,29
June 2011,5,8
July 2011,11,22
August 2011,15,18
September 2011,30,19
October 2011,8,22
November 2011,9,9
December 2011,10,11
January 2012,10,13
February 2012,13,35
March 2012,25,22
April 2012,22,10
May 2012,2,19
June 2012,5,10
July 2012,14,15
August 2012,0,12
September 2012,14,2
October 2012,4,9
November 2012,0,16
December 2012,7,14
January 2013,10,11
February 2013,9,0
March 2013,4,7
April 2013,4,15
May 2013,13,6
June 2013,7,20
July 2013,5,7
August 2013,2,14
September 2013,0,8
October 2013,3,6
November 2013,1,2
December 2013,2,8
January 2014,23,5
February 2014,8,0
March 2014,11,10
April 2014,8,2
May 2014,0,13
June 2014,2,10
July 2014,2,9
August 2014,2,0
September 2014,9,2
October 2014,12,0
November 2014,10,3
December 2014,5,5
January 2015,11,17
February 2015,13,10
March 2015,23,0
April 2015,52,26
May 2015,8,10
June 2015,27,22
July 2015,3,6
August 2015,11,8
September 2015,22,3
October 2015,32,10
November 2015,14,7
December 2015,17,17
January 2016,0,37
February 2016,4,36
March 2016,20,20
April 2016,0,46
May 2016,11,17
June 2016,20,6
July 2016,6,14
August 2016,2,36
September 2016,11,24
October 2016,8,46
November 2016,0,12
December 2016,18,12
January 2017,0,13
February 2017,3,6
March 2017,2,31
April 2017,22,15
May 2017,6,15
June 2017,13,0
July 2017,3,19
August 2017,0,8
September 2017,1,0
October 2017,14,13
November 2017,8,7
December 2017,4,15
January 2018,5,10
February 2018,6,6
March 2018,0,4
April 2018,8,3
May 2018,4,27
June 2018,0,2
July 2018,18,6
August 2018,3,15
September 2018,32,5
October 2018,30,7
November 2018,15,0
December 2018,0,6
January 2019,13,6
February 2019,4,6
