Time,evolution,corretion
July 2010,0,1
August 2010,1,1
September 2010,0,0
October 2010,0,0
November 2010,0,0
December 2010,0,0
January 2011,0,0
February 2011,0,0
March 2011,0,0
April 2011,0,0
May 2011,0,0
June 2011,0,0
July 2011,0,0
August 2011,0,0
September 2011,0,0
October 2011,0,0
November 2011,0,0
December 2011,0,0
January 2012,0,0
February 2012,0,0
March 2012,0,0
April 2012,0,0
May 2012,0,0
June 2012,0,0
July 2012,0,0
August 2012,0,0
September 2012,0,0
October 2012,0,0
November 2012,0,0
December 2012,0,0
January 2013,0,0
February 2013,0,0
March 2013,0,0
April 2013,0,0
May 2013,0,0
June 2013,0,0
July 2013,0,0
August 2013,0,0
September 2013,0,0
October 2013,0,0
November 2013,0,0
December 2013,0,0
January 2014,0,0
February 2014,0,0
March 2014,0,0
April 2014,0,2
May 2014,0,0
June 2014,0,0
July 2014,0,0
August 2014,0,0
September 2014,0,0
October 2014,0,1
