Time,evolution,corretion
March 2006,12,7
April 2006,5,0
May 2006,0,0
June 2006,0,4
July 2006,1,0
August 2006,0,4
September 2006,8,0
October 2006,5,0
November 2006,0,0
December 2006,0,3
January 2007,3,0
February 2007,0,4
March 2007,2,4
April 2007,13,12
May 2007,9,4
June 2007,19,4
July 2007,0,4
August 2007,30,16
September 2007,20,4
October 2007,22,8
November 2007,36,12
December 2007,16,7
January 2008,15,14
February 2008,14,3
March 2008,2,2
April 2008,15,1
May 2008,10,1
June 2008,0,5
July 2008,5,2
August 2008,0,5
September 2008,1,0
October 2008,8,0
November 2008,2,3
December 2008,0,1
January 2009,3,4
February 2009,14,6
March 2009,4,9
April 2009,1,2
May 2009,2,1
June 2009,1,4
July 2009,2,5
August 2009,2,7
September 2009,1,8
October 2009,2,1
November 2009,7,1
December 2009,1,0
January 2010,0,1
February 2010,1,4
March 2010,0,2
April 2010,3,1
May 2010,6,0
June 2010,4,4
July 2010,1,4
August 2010,0,4
September 2010,0,0
October 2010,0,0
November 2010,4,5
December 2010,0,1
January 2011,0,5
February 2011,7,1
March 2011,0,6
April 2011,0,10
May 2011,0,6
June 2011,0,0
July 2011,16,0
August 2011,0,0
September 2011,0,0
October 2011,0,0
November 2011,5,0
December 2011,3,1
January 2012,0,2
February 2012,2,0
March 2012,0,2
April 2012,0,0
May 2012,0,2
June 2012,0,0
July 2012,0,2
August 2012,0,0
September 2012,0,0
October 2012,0,0
November 2012,0,0
December 2012,0,0
January 2013,0,0
February 2013,0,0
March 2013,0,0
April 2013,0,0
May 2013,0,0
June 2013,0,0
July 2013,0,0
August 2013,0,0
September 2013,0,4
October 2013,0,6
November 2013,0,0
December 2013,0,9
January 2014,0,0
February 2014,4,0
March 2014,0,0
April 2014,0,0
May 2014,0,0
June 2014,0,3
July 2014,0,0
August 2014,0,0
September 2014,0,0
October 2014,0,0
November 2014,0,0
December 2014,0,0
January 2015,0,0
February 2015,0,0
March 2015,7,0
April 2015,0,0
May 2015,0,0
June 2015,0,0
July 2015,0,0
August 2015,0,0
September 2015,0,0
October 2015,0,0
November 2015,0,0
December 2015,0,0
January 2016,0,0
February 2016,0,0
March 2016,0,0
April 2016,0,0
May 2016,0,0
June 2016,0,0
July 2016,0,0
August 2016,0,0
September 2016,0,0
October 2016,0,0
November 2016,0,0
December 2016,0,0
January 2017,0,4
February 2017,0,0
March 2017,0,0
April 2017,0,0
May 2017,0,0
June 2017,0,0
July 2017,0,0
August 2017,0,0
September 2017,0,0
October 2017,0,0
November 2017,0,0
December 2017,0,0
January 2018,0,0
February 2018,0,0
March 2018,0,0
April 2018,0,0
May 2018,0,0
June 2018,0,0
July 2018,0,0
August 2018,0,3
