Time,evolution,corretion
June 2004,2,0
July 2004,0,0
August 2004,2,0
September 2004,0,0
October 2004,0,0
November 2004,0,0
December 2004,4,0
January 2005,2,0
February 2005,2,0
March 2005,0,3
April 2005,0,0
May 2005,0,0
June 2005,0,0
July 2005,4,0
August 2005,0,2
September 2005,0,3
October 2005,2,3
November 2005,6,4
December 2005,1,0
January 2006,17,2
February 2006,1,2
March 2006,3,1
April 2006,13,0
May 2006,8,6
June 2006,0,0
July 2006,0,3
August 2006,0,1
September 2006,0,0
October 2006,0,2
November 2006,1,1
December 2006,0,0
January 2007,6,8
February 2007,2,5
March 2007,1,5
April 2007,3,7
May 2007,7,0
June 2007,7,0
July 2007,4,3
August 2007,3,3
September 2007,0,3
October 2007,3,5
November 2007,0,7
December 2007,4,3
January 2008,4,2
February 2008,1,11
March 2008,0,0
April 2008,0,2
May 2008,3,5
June 2008,6,0
July 2008,0,6
August 2008,0,1
September 2008,4,0
October 2008,3,6
November 2008,0,19
December 2008,6,2
January 2009,3,6
February 2009,6,1
March 2009,0,3
April 2009,2,14
May 2009,7,0
June 2009,4,2
July 2009,4,0
August 2009,13,3
September 2009,2,0
October 2009,0,3
November 2009,5,0
December 2009,10,7
January 2010,2,2
February 2010,14,0
March 2010,9,2
April 2010,0,0
May 2010,0,0
June 2010,4,0
July 2010,0,0
August 2010,1,0
September 2010,5,7
October 2010,0,0
November 2010,2,2
December 2010,0,0
January 2011,0,0
February 2011,3,0
March 2011,10,3
April 2011,2,1
May 2011,2,7
June 2011,0,3
July 2011,4,0
August 2011,7,0
September 2011,14,0
October 2011,0,4
November 2011,1,0
December 2011,0,3
January 2012,0,6
February 2012,0,9
March 2012,0,6
April 2012,4,0
May 2012,0,4
June 2012,3,2
July 2012,0,2
August 2012,0,0
September 2012,0,3
October 2012,0,9
November 2012,2,9
December 2012,4,3
January 2013,17,0
February 2013,0,0
March 2013,3,3
April 2013,3,0
May 2013,0,5
June 2013,9,0
July 2013,0,2
August 2013,3,2
September 2013,0,0
October 2013,5,3
November 2013,2,0
December 2013,5,0
January 2014,2,0
February 2014,0,0
March 2014,0,1
April 2014,0,5
May 2014,0,0
June 2014,0,1
July 2014,12,1
August 2014,3,0
September 2014,2,0
October 2014,4,0
November 2014,0,3
December 2014,0,3
January 2015,0,0
February 2015,2,2
March 2015,0,0
April 2015,0,0
May 2015,5,3
June 2015,0,0
July 2015,2,5
August 2015,2,0
September 2015,0,0
October 2015,2,4
November 2015,0,0
December 2015,0,2
January 2016,0,5
February 2016,0,4
March 2016,2,0
April 2016,0,2
May 2016,0,6
June 2016,0,0
July 2016,0,0
August 2016,0,0
September 2016,10,0
October 2016,0,0
November 2016,0,0
December 2016,0,0
January 2017,0,7
February 2017,2,0
March 2017,0,0
April 2017,4,0
May 2017,0,15
June 2017,6,4
July 2017,0,7
August 2017,37,4
September 2017,15,15
October 2017,0,8
November 2017,0,0
December 2017,0,0
January 2018,0,10
February 2018,4,6
March 2018,3,12
April 2018,5,0
May 2018,1,0
June 2018,0,0
July 2018,3,7
August 2018,0,3
September 2018,6,8
