Time,evolution,corretion
August 2004,2,0
September 2004,0,0
October 2004,0,0
November 2004,0,0
December 2004,3,2
January 2005,2,0
February 2005,5,0
March 2005,5,17
April 2005,0,5
May 2005,4,11
June 2005,0,0
July 2005,9,2
August 2005,5,0
September 2005,8,0
October 2005,3,2
November 2005,10,3
December 2005,0,2
January 2006,9,4
February 2006,7,2
March 2006,11,3
April 2006,4,2
May 2006,4,3
June 2006,0,3
July 2006,0,4
August 2006,0,2
September 2006,2,6
October 2006,5,0
November 2006,1,2
December 2006,0,0
January 2007,1,8
February 2007,0,7
March 2007,0,0
April 2007,0,5
May 2007,3,4
June 2007,3,0
July 2007,5,0
August 2007,2,20
September 2007,8,4
October 2007,3,6
November 2007,8,0
December 2007,5,0
January 2008,1,1
February 2008,2,0
March 2008,0,0
April 2008,2,11
May 2008,3,0
June 2008,1,0
July 2008,3,2
August 2008,0,0
September 2008,6,4
October 2008,2,0
November 2008,0,3
December 2008,0,0
January 2009,0,0
February 2009,0,1
March 2009,2,0
April 2009,0,3
May 2009,6,1
June 2009,3,4
July 2009,0,0
August 2009,0,0
September 2009,4,0
October 2009,0,0
November 2009,5,1
December 2009,3,0
January 2010,14,0
February 2010,4,2
March 2010,25,3
April 2010,6,11
May 2010,12,7
June 2010,6,2
July 2010,2,8
August 2010,2,0
September 2010,5,3
October 2010,1,0
November 2010,1,2
December 2010,4,0
January 2011,2,3
February 2011,0,8
March 2011,0,7
April 2011,2,6
May 2011,2,4
June 2011,7,9
July 2011,7,0
August 2011,13,0
September 2011,5,0
October 2011,0,1
November 2011,2,0
December 2011,2,0
January 2012,0,8
February 2012,3,21
March 2012,13,8
April 2012,4,18
May 2012,0,8
June 2012,3,3
July 2012,0,0
August 2012,0,8
September 2012,0,4
October 2012,3,6
November 2012,2,2
December 2012,0,10
January 2013,3,0
February 2013,0,2
March 2013,0,0
April 2013,6,5
May 2013,0,2
June 2013,2,4
July 2013,0,0
August 2013,0,0
September 2013,0,0
October 2013,3,2
November 2013,0,2
December 2013,2,0
January 2014,6,0
February 2014,0,4
March 2014,0,0
April 2014,9,4
May 2014,4,0
June 2014,0,4
July 2014,1,0
August 2014,0,0
September 2014,0,0
October 2014,2,0
November 2014,0,0
December 2014,0,8
January 2015,10,3
February 2015,0,5
March 2015,0,0
April 2015,0,0
May 2015,5,0
June 2015,2,0
July 2015,4,2
August 2015,0,0
September 2015,0,0
October 2015,0,2
November 2015,3,0
December 2015,0,0
January 2016,2,0
February 2016,0,2
March 2016,0,0
April 2016,0,8
May 2016,0,0
June 2016,0,3
July 2016,0,2
August 2016,0,0
September 2016,27,0
October 2016,0,0
November 2016,0,0
December 2016,0,3
January 2017,0,3
February 2017,0,0
March 2017,0,0
April 2017,0,0
May 2017,2,4
June 2017,5,0
July 2017,0,14
August 2017,0,5
September 2017,0,5
October 2017,0,0
November 2017,0,0
December 2017,0,5
January 2018,0,0
February 2018,0,10
March 2018,2,5
April 2018,0,0
May 2018,0,4
June 2018,0,0
July 2018,0,0
August 2018,3,0
September 2018,0,0
October 2018,2,9
November 2018,0,0
December 2018,0,0
January 2019,0,0
February 2019,7,0
