Time,evolution,corretion
January 2004,1,0
February 2004,0,0
March 2004,0,0
April 2004,4,0
May 2004,0,0
June 2004,0,0
July 2004,0,0
August 2004,4,0
September 2004,0,0
October 2004,0,2
November 2004,0,0
December 2004,10,6
January 2005,6,0
February 2005,12,22
March 2005,4,7
April 2005,0,34
May 2005,2,9
June 2005,12,10
July 2005,11,13
August 2005,17,8
September 2005,24,12
October 2005,22,5
November 2005,12,9
December 2005,3,3
January 2006,25,6
February 2006,4,6
March 2006,21,8
April 2006,11,12
May 2006,24,14
June 2006,10,17
July 2006,0,20
August 2006,0,3
September 2006,6,7
October 2006,8,24
November 2006,9,8
December 2006,1,3
January 2007,8,22
February 2007,5,21
March 2007,3,20
April 2007,6,17
May 2007,28,17
June 2007,13,4
July 2007,4,4
August 2007,1,12
September 2007,10,11
October 2007,2,20
November 2007,0,6
December 2007,4,11
January 2008,6,3
February 2008,6,19
March 2008,0,12
April 2008,11,8
May 2008,7,0
June 2008,2,10
July 2008,0,7
August 2008,5,3
September 2008,8,8
October 2008,6,6
November 2008,0,6
December 2008,6,3
January 2009,0,10
February 2009,3,4
March 2009,4,11
April 2009,3,3
May 2009,0,8
June 2009,8,5
July 2009,8,12
August 2009,2,0
September 2009,3,2
October 2009,4,9
November 2009,16,3
December 2009,21,6
January 2010,4,0
February 2010,14,3
March 2010,7,3
April 2010,6,8
May 2010,8,2
June 2010,3,10
July 2010,4,14
August 2010,0,4
September 2010,1,11
October 2010,0,4
November 2010,4,2
December 2010,7,9
January 2011,3,6
February 2011,0,0
March 2011,5,3
April 2011,10,2
May 2011,6,14
June 2011,0,6
July 2011,6,5
August 2011,7,7
September 2011,16,5
October 2011,0,13
November 2011,9,3
December 2011,2,18
January 2012,3,18
February 2012,3,14
March 2012,4,13
April 2012,9,10
May 2012,0,8
June 2012,0,29
July 2012,4,7
August 2012,0,7
September 2012,2,4
October 2012,0,18
November 2012,2,16
December 2012,7,8
January 2013,10,5
February 2013,7,13
March 2013,0,20
April 2013,4,2
May 2013,0,2
June 2013,2,4
July 2013,3,3
August 2013,0,5
September 2013,0,8
October 2013,0,5
November 2013,0,7
December 2013,0,3
January 2014,2,0
February 2014,2,0
March 2014,2,3
April 2014,4,0
May 2014,0,0
June 2014,0,7
July 2014,5,0
August 2014,0,4
September 2014,2,5
October 2014,23,15
November 2014,0,1
December 2014,4,6
January 2015,2,25
February 2015,3,8
March 2015,2,0
April 2015,12,2
May 2015,3,4
June 2015,0,9
July 2015,11,10
August 2015,0,0
September 2015,14,6
October 2015,0,0
November 2015,3,7
December 2015,4,2
January 2016,2,12
February 2016,0,0
March 2016,0,9
April 2016,0,14
May 2016,17,11
June 2016,0,0
July 2016,3,21
August 2016,0,9
September 2016,25,2
October 2016,3,7
November 2016,0,3
December 2016,7,6
January 2017,5,19
February 2017,0,7
March 2017,16,8
April 2017,17,16
May 2017,4,21
June 2017,5,12
July 2017,5,4
August 2017,0,10
September 2017,8,0
October 2017,4,5
November 2017,8,4
December 2017,0,9
January 2018,0,18
February 2018,2,12
March 2018,0,18
April 2018,5,5
May 2018,0,8
June 2018,0,4
July 2018,15,4
August 2018,3,3
September 2018,0,0
October 2018,8,0
November 2018,3,3
December 2018,0,0
January 2019,5,3
February 2019,2,8
