Time,evolution,corretion
December 2004,2,0
January 2005,0,0
February 2005,0,0
March 2005,0,0
April 2005,0,0
May 2005,0,0
June 2005,0,0
July 2005,0,0
August 2005,0,0
September 2005,0,0
October 2005,0,0
November 2005,0,0
December 2005,0,0
January 2006,13,0
February 2006,0,0
March 2006,0,0
April 2006,0,0
May 2006,0,0
June 2006,0,0
July 2006,0,0
August 2006,0,0
September 2006,0,0
October 2006,2,0
November 2006,0,0
December 2006,0,0
January 2007,6,0
February 2007,0,0
March 2007,0,5
April 2007,0,0
May 2007,1,0
June 2007,3,0
July 2007,0,0
August 2007,0,0
September 2007,0,0
October 2007,0,5
November 2007,0,4
December 2007,0,0
January 2008,0,0
February 2008,0,0
March 2008,0,0
April 2008,0,0
May 2008,1,0
June 2008,0,0
July 2008,0,0
August 2008,0,4
September 2008,0,0
October 2008,0,0
November 2008,0,0
December 2008,0,0
January 2009,5,0
February 2009,0,0
March 2009,0,0
April 2009,0,0
May 2009,8,0
June 2009,2,0
July 2009,0,0
August 2009,0,0
September 2009,1,0
October 2009,0,0
November 2009,0,1
December 2009,2,0
January 2010,0,0
February 2010,0,0
March 2010,0,0
April 2010,0,0
May 2010,0,0
June 2010,0,0
July 2010,0,0
August 2010,0,0
September 2010,9,1
October 2010,0,0
November 2010,0,0
December 2010,0,0
January 2011,0,0
February 2011,0,0
March 2011,0,0
April 2011,0,0
May 2011,0,0
June 2011,0,0
July 2011,1,0
August 2011,0,0
September 2011,0,0
October 2011,0,4
November 2011,0,0
December 2011,0,0
January 2012,0,0
February 2012,6,0
March 2012,0,0
April 2012,4,3
May 2012,0,0
June 2012,0,0
July 2012,0,0
August 2012,0,0
September 2012,0,0
October 2012,0,0
November 2012,0,0
December 2012,0,0
January 2013,7,0
February 2013,0,0
March 2013,0,0
April 2013,0,0
May 2013,0,0
June 2013,0,0
July 2013,0,0
August 2013,3,0
September 2013,0,0
October 2013,0,0
November 2013,0,0
December 2013,8,2
January 2014,0,0
February 2014,0,0
March 2014,0,0
April 2014,0,0
May 2014,0,0
June 2014,0,0
July 2014,0,0
August 2014,0,0
September 2014,0,0
October 2014,0,2
November 2014,0,0
December 2014,0,7
January 2015,0,0
February 2015,0,0
March 2015,0,0
April 2015,0,0
May 2015,0,0
June 2015,0,0
July 2015,0,0
August 2015,0,0
September 2015,0,0
October 2015,0,0
November 2015,0,0
December 2015,0,0
January 2016,0,0
February 2016,0,0
March 2016,2,0
April 2016,0,0
May 2016,0,0
June 2016,0,0
July 2016,0,0
August 2016,0,0
September 2016,6,0
October 2016,0,0
November 2016,0,0
December 2016,0,3
January 2017,0,0
February 2017,0,0
March 2017,0,0
April 2017,0,0
May 2017,0,7
June 2017,0,0
July 2017,0,0
August 2017,0,0
September 2017,10,0
October 2017,0,0
November 2017,0,0
December 2017,0,0
January 2018,0,0
February 2018,0,0
March 2018,3,4
