Time,evolution,corretion
August 2004,0,2
September 2004,0,4
October 2004,4,0
November 2004,2,1
December 2004,0,0
January 2005,0,5
February 2005,9,4
March 2005,0,5
April 2005,0,2
May 2005,0,0
June 2005,4,4
July 2005,12,4
August 2005,1,15
September 2005,3,4
October 2005,9,7
November 2005,6,4
December 2005,0,7
January 2006,10,15
February 2006,1,16
March 2006,7,11
April 2006,5,15
May 2006,5,11
June 2006,1,0
July 2006,3,4
August 2006,7,0
September 2006,0,2
October 2006,5,3
November 2006,4,2
December 2006,0,4
January 2007,3,18
February 2007,3,7
March 2007,6,8
April 2007,15,4
May 2007,17,13
June 2007,10,9
July 2007,13,0
August 2007,0,11
September 2007,4,3
October 2007,8,2
November 2007,7,12
December 2007,10,21
January 2008,4,13
February 2008,20,14
March 2008,9,5
April 2008,3,22
May 2008,17,2
June 2008,0,7
July 2008,5,8
August 2008,4,0
September 2008,6,11
October 2008,7,12
November 2008,6,30
December 2008,5,25
January 2009,58,18
February 2009,7,18
March 2009,4,14
April 2009,5,2
May 2009,3,17
June 2009,4,16
July 2009,14,8
August 2009,0,0
September 2009,19,3
October 2009,3,5
November 2009,2,17
December 2009,18,5
January 2010,22,2
February 2010,10,3
March 2010,13,12
April 2010,1,6
May 2010,2,5
June 2010,2,5
July 2010,5,11
August 2010,0,15
September 2010,12,13
October 2010,8,4
November 2010,0,4
December 2010,14,6
January 2011,3,10
February 2011,16,20
March 2011,26,2
April 2011,3,6
May 2011,2,14
June 2011,0,5
July 2011,2,7
August 2011,0,23
September 2011,5,3
October 2011,2,7
November 2011,0,7
December 2011,4,3
January 2012,1,14
February 2012,10,0
March 2012,2,3
April 2012,3,16
May 2012,7,5
June 2012,7,8
July 2012,10,9
August 2012,0,2
September 2012,7,3
October 2012,0,34
November 2012,9,25
December 2012,8,4
January 2013,4,21
February 2013,0,5
March 2013,27,0
April 2013,0,0
May 2013,0,3
June 2013,0,0
July 2013,10,6
August 2013,21,8
September 2013,0,18
October 2013,2,10
November 2013,8,15
December 2013,13,34
January 2014,18,69
February 2014,28,11
March 2014,12,19
April 2014,15,26
May 2014,19,17
June 2014,22,19
July 2014,9,35
August 2014,21,20
September 2014,18,55
October 2014,13,36
November 2014,2,4
December 2014,4,11
January 2015,9,42
February 2015,34,12
March 2015,11,23
April 2015,7,9
May 2015,9,24
June 2015,18,17
July 2015,8,7
August 2015,16,0
September 2015,52,15
October 2015,0,9
November 2015,3,11
December 2015,6,24
January 2016,0,21
February 2016,7,5
March 2016,10,11
April 2016,3,16
May 2016,10,33
June 2016,2,5
July 2016,4,2
August 2016,0,0
September 2016,31,7
October 2016,3,12
November 2016,8,0
December 2016,1,15
January 2017,4,12
February 2017,10,13
March 2017,13,14
April 2017,0,0
May 2017,0,11
June 2017,6,1
July 2017,10,7
August 2017,7,37
September 2017,0,22
October 2017,0,16
November 2017,0,24
December 2017,0,10
January 2018,5,17
February 2018,12,17
March 2018,2,36
April 2018,4,4
May 2018,16,5
June 2018,3,3
July 2018,0,5
August 2018,0,9
September 2018,2,0
October 2018,3,0
November 2018,0,0
December 2018,0,13
January 2019,0,4
February 2019,0,6
