Time,evolution,corretion
May 2005,1,11
June 2005,4,0
July 2005,1,5
August 2005,0,0
September 2005,3,12
October 2005,4,8
November 2005,2,0
December 2005,1,0
January 2006,0,0
February 2006,3,0
March 2006,2,0
April 2006,1,0
May 2006,4,0
June 2006,9,0
July 2006,17,0
August 2006,0,6
September 2006,0,4
October 2006,0,13
November 2006,2,3
December 2006,0,2
January 2007,2,7
February 2007,5,4
March 2007,3,1
April 2007,0,8
May 2007,0,0
June 2007,0,3
July 2007,0,0
August 2007,0,0
September 2007,0,21
October 2007,2,2
November 2007,9,0
December 2007,2,5
January 2008,3,7
February 2008,5,0
March 2008,0,4
April 2008,6,2
May 2008,3,11
June 2008,2,2
July 2008,0,2
August 2008,0,0
September 2008,0,7
October 2008,19,7
November 2008,6,19
December 2008,0,10
January 2009,2,0
February 2009,2,1
March 2009,9,1
April 2009,0,2
May 2009,6,0
June 2009,8,4
July 2009,9,9
August 2009,0,4
September 2009,6,6
October 2009,2,1
November 2009,2,0
December 2009,1,0
January 2010,6,2
February 2010,2,0
March 2010,11,0
April 2010,2,1
May 2010,0,3
June 2010,2,1
July 2010,0,0
August 2010,0,0
September 2010,0,0
October 2010,2,0
November 2010,2,0
December 2010,2,7
January 2011,12,2
February 2011,2,0
March 2011,8,2
April 2011,2,10
May 2011,0,21
June 2011,2,0
July 2011,0,3
August 2011,0,3
September 2011,9,4
October 2011,0,0
November 2011,0,0
December 2011,0,2
January 2012,2,2
February 2012,0,0
March 2012,0,2
April 2012,0,4
May 2012,5,0
June 2012,0,3
July 2012,2,0
August 2012,2,8
September 2012,0,0
October 2012,0,11
November 2012,0,2
December 2012,16,0
January 2013,2,0
February 2013,0,2
March 2013,7,0
April 2013,3,0
May 2013,0,3
June 2013,0,0
July 2013,35,0
August 2013,0,0
September 2013,0,17
October 2013,0,6
November 2013,0,29
December 2013,18,17
January 2014,37,42
February 2014,4,2
March 2014,5,20
April 2014,0,21
May 2014,2,10
June 2014,10,7
July 2014,30,4
August 2014,0,11
September 2014,0,11
October 2014,9,2
November 2014,2,1
December 2014,0,0
January 2015,0,2
February 2015,0,3
March 2015,5,0
April 2015,0,9
May 2015,0,0
June 2015,3,6
July 2015,0,0
August 2015,0,4
September 2015,0,3
October 2015,0,4
November 2015,3,2
December 2015,0,9
January 2016,0,0
February 2016,0,8
March 2016,1,2
April 2016,2,0
May 2016,0,4
June 2016,0,0
July 2016,2,0
August 2016,0,2
September 2016,0,2
October 2016,0,0
November 2016,0,6
December 2016,0,2
January 2017,0,3
February 2017,0,0
March 2017,0,9
April 2017,0,4
May 2017,0,4
June 2017,0,0
July 2017,4,5
August 2017,0,3
September 2017,0,0
October 2017,0,0
November 2017,0,0
December 2017,8,5
January 2018,0,11
February 2018,1,9
March 2018,0,0
April 2018,0,0
May 2018,0,0
June 2018,10,0
July 2018,0,3
August 2018,0,3
September 2018,0,0
October 2018,0,1
November 2018,0,0
December 2018,0,0
January 2019,2,0
February 2019,2,0
