Time,evolution,corretion
October 2004,8,0
November 2004,0,0
December 2004,0,0
January 2005,0,0
February 2005,13,9
March 2005,3,0
April 2005,0,0
May 2005,0,1
June 2005,1,0
July 2005,0,0
August 2005,0,0
September 2005,0,10
October 2005,0,3
November 2005,1,0
December 2005,1,0
January 2006,2,0
February 2006,2,13
March 2006,0,0
April 2006,3,0
May 2006,0,0
June 2006,0,0
July 2006,1,6
August 2006,0,0
September 2006,5,4
October 2006,0,0
November 2006,3,0
December 2006,2,0
January 2007,3,6
February 2007,0,0
March 2007,10,2
April 2007,3,8
May 2007,0,5
June 2007,0,0
July 2007,0,0
August 2007,3,0
September 2007,0,0
October 2007,5,0
November 2007,2,2
December 2007,6,4
January 2008,0,8
February 2008,25,0
March 2008,8,2
April 2008,6,5
May 2008,1,0
June 2008,10,12
July 2008,4,1
August 2008,0,0
September 2008,2,4
October 2008,9,10
November 2008,0,5
December 2008,8,1
January 2009,0,6
February 2009,0,4
March 2009,3,5
April 2009,8,0
May 2009,6,6
June 2009,1,4
July 2009,12,3
August 2009,10,2
September 2009,12,10
October 2009,24,14
November 2009,22,7
December 2009,4,3
January 2010,30,5
February 2010,9,6
March 2010,7,13
April 2010,2,6
May 2010,27,7
June 2010,6,6
July 2010,2,0
August 2010,15,2
September 2010,6,0
October 2010,10,5
November 2010,11,7
December 2010,31,12
January 2011,12,6
February 2011,12,12
March 2011,10,34
April 2011,3,3
May 2011,11,10
June 2011,0,21
July 2011,2,16
August 2011,4,6
September 2011,5,17
October 2011,14,0
November 2011,25,0
December 2011,11,6
January 2012,17,26
February 2012,1,3
March 2012,24,11
April 2012,17,12
May 2012,10,4
June 2012,4,14
July 2012,4,4
August 2012,0,7
September 2012,8,0
October 2012,0,3
November 2012,10,10
December 2012,3,1
January 2013,13,8
February 2013,3,15
March 2013,3,0
April 2013,0,3
May 2013,1,2
June 2013,2,0
July 2013,0,5
August 2013,12,3
September 2013,8,0
October 2013,0,4
November 2013,6,1
December 2013,0,6
January 2014,22,3
February 2014,1,2
March 2014,3,6
April 2014,16,7
May 2014,25,4
June 2014,0,0
July 2014,4,0
August 2014,2,6
September 2014,14,6
October 2014,4,7
November 2014,8,15
December 2014,0,0
January 2015,0,3
February 2015,2,4
March 2015,12,7
April 2015,5,2
May 2015,0,0
June 2015,9,16
July 2015,13,8
August 2015,0,3
September 2015,6,6
October 2015,0,0
November 2015,0,0
December 2015,0,3
January 2016,0,0
February 2016,0,0
March 2016,0,5
April 2016,11,3
May 2016,2,2
June 2016,4,6
July 2016,0,0
August 2016,0,2
September 2016,18,0
October 2016,0,0
November 2016,0,0
December 2016,10,3
January 2017,0,1
February 2017,0,0
March 2017,0,0
April 2017,0,0
May 2017,0,2
June 2017,0,0
July 2017,0,0
August 2017,0,1
September 2017,0,0
October 2017,0,0
November 2017,0,4
December 2017,0,0
January 2018,8,0
February 2018,0,0
March 2018,0,0
April 2018,13,1
May 2018,0,11
June 2018,0,1
July 2018,4,9
August 2018,2,3
September 2018,2,0
October 2018,9,0
November 2018,12,4
