Time,evolution,corretion
November 2003,1,0
December 2003,0,0
January 2004,0,0
February 2004,0,0
March 2004,0,0
April 2004,0,0
May 2004,0,0
June 2004,0,0
July 2004,7,0
August 2004,0,0
September 2004,0,0
October 2004,1,14
November 2004,13,1
December 2004,6,0
January 2005,2,0
February 2005,12,8
March 2005,2,11
April 2005,0,9
May 2005,10,4
June 2005,6,0
July 2005,4,7
August 2005,5,8
September 2005,0,0
October 2005,5,12
November 2005,10,14
December 2005,3,1
January 2006,9,24
February 2006,10,17
March 2006,2,5
April 2006,8,2
May 2006,7,4
June 2006,14,8
July 2006,2,0
August 2006,1,1
September 2006,2,9
October 2006,10,6
November 2006,13,2
December 2006,10,5
January 2007,24,7
February 2007,5,4
March 2007,7,13
April 2007,3,14
May 2007,1,10
June 2007,0,10
July 2007,2,10
August 2007,6,5
September 2007,10,19
October 2007,26,8
November 2007,12,9
December 2007,28,5
January 2008,28,25
February 2008,23,21
March 2008,2,22
April 2008,12,20
May 2008,14,12
June 2008,7,17
July 2008,21,15
August 2008,15,7
September 2008,2,34
October 2008,22,7
November 2008,19,13
December 2008,19,12
January 2009,26,16
February 2009,8,10
March 2009,8,3
April 2009,15,2
May 2009,13,18
June 2009,5,4
July 2009,8,20
August 2009,22,13
September 2009,24,20
October 2009,2,13
November 2009,8,6
December 2009,17,1
January 2010,16,1
February 2010,13,10
March 2010,15,16
April 2010,5,2
May 2010,8,5
June 2010,3,3
July 2010,13,4
August 2010,1,17
September 2010,0,1
October 2010,0,4
November 2010,21,7
December 2010,6,8
January 2011,9,19
February 2011,2,6
March 2011,22,4
April 2011,5,11
May 2011,4,2
June 2011,3,8
July 2011,0,7
August 2011,3,6
September 2011,11,13
October 2011,1,13
November 2011,1,0
December 2011,2,3
January 2012,0,7
February 2012,34,6
March 2012,2,6
April 2012,4,2
May 2012,2,13
June 2012,8,9
July 2012,3,10
August 2012,6,22
September 2012,0,3
October 2012,3,15
November 2012,0,3
December 2012,16,11
January 2013,2,3
February 2013,0,2
March 2013,7,2
April 2013,6,0
May 2013,4,4
June 2013,2,2
July 2013,12,0
August 2013,2,2
September 2013,0,2
October 2013,2,13
November 2013,16,13
December 2013,25,15
January 2014,15,19
February 2014,6,11
March 2014,15,7
April 2014,22,0
May 2014,12,0
June 2014,20,7
July 2014,12,10
August 2014,0,0
September 2014,2,0
October 2014,5,10
November 2014,34,10
December 2014,4,11
January 2015,11,13
February 2015,8,32
March 2015,46,8
April 2015,10,5
May 2015,6,5
June 2015,34,17
July 2015,9,3
August 2015,7,5
September 2015,9,2
October 2015,5,5
November 2015,7,1
December 2015,0,2
January 2016,0,6
February 2016,4,3
March 2016,2,16
April 2016,1,3
May 2016,10,2
June 2016,0,0
July 2016,0,4
August 2016,0,2
September 2016,0,3
October 2016,3,4
November 2016,2,3
December 2016,0,0
January 2017,0,8
February 2017,0,0
March 2017,4,9
April 2017,4,0
May 2017,0,0
June 2017,0,3
July 2017,17,0
August 2017,21,0
September 2017,0,4
October 2017,0,4
November 2017,0,0
December 2017,0,10
January 2018,0,4
February 2018,8,0
March 2018,9,5
April 2018,0,0
May 2018,1,7
June 2018,5,3
July 2018,0,0
August 2018,0,9
September 2018,7,7
