Time,evolution,corretion
June 2004,3,0
July 2004,7,0
August 2004,0,0
September 2004,0,0
October 2004,0,0
November 2004,0,0
December 2004,2,1
January 2005,1,0
February 2005,12,5
March 2005,0,0
April 2005,0,3
May 2005,8,0
June 2005,0,0
July 2005,1,0
August 2005,2,0
September 2005,2,0
October 2005,3,4
November 2005,0,3
December 2005,2,0
January 2006,2,10
February 2006,2,10
March 2006,1,0
April 2006,6,2
May 2006,3,0
June 2006,0,12
July 2006,0,5
August 2006,1,0
September 2006,0,11
October 2006,4,0
November 2006,2,0
December 2006,3,0
January 2007,5,4
February 2007,0,5
March 2007,5,2
April 2007,0,6
May 2007,0,0
June 2007,0,0
July 2007,1,6
August 2007,1,0
September 2007,1,0
October 2007,10,0
November 2007,4,0
December 2007,10,2
January 2008,10,7
February 2008,20,11
March 2008,2,14
April 2008,10,24
May 2008,9,6
June 2008,3,12
July 2008,6,0
August 2008,1,8
September 2008,9,5
October 2008,4,10
November 2008,6,8
December 2008,21,2
January 2009,15,1
February 2009,4,14
March 2009,12,8
April 2009,9,2
May 2009,15,3
June 2009,6,0
July 2009,0,11
August 2009,6,4
September 2009,6,4
October 2009,4,3
November 2009,2,2
December 2009,6,3
January 2010,3,2
February 2010,3,2
March 2010,2,9
April 2010,2,11
May 2010,11,0
June 2010,2,9
July 2010,8,4
August 2010,3,6
September 2010,3,1
October 2010,0,4
November 2010,6,2
December 2010,4,0
January 2011,2,1
February 2011,0,2
March 2011,14,0
April 2011,0,1
May 2011,5,6
June 2011,0,8
July 2011,2,8
August 2011,6,5
September 2011,5,0
October 2011,1,2
November 2011,0,1
December 2011,5,3
January 2012,2,3
February 2012,16,3
March 2012,12,0
April 2012,4,3
May 2012,5,4
June 2012,3,0
July 2012,0,5
August 2012,4,5
September 2012,0,0
October 2012,7,2
November 2012,0,4
December 2012,5,0
January 2013,2,0
February 2013,0,0
March 2013,5,2
April 2013,6,2
May 2013,0,3
June 2013,0,0
July 2013,0,0
August 2013,8,0
September 2013,0,4
October 2013,6,5
November 2013,19,3
December 2013,17,5
January 2014,7,3
February 2014,0,0
March 2014,17,0
April 2014,13,0
May 2014,8,0
June 2014,3,0
July 2014,1,4
August 2014,0,0
September 2014,0,1
October 2014,3,4
November 2014,24,0
December 2014,0,0
January 2015,12,9
February 2015,19,13
March 2015,20,3
April 2015,9,2
May 2015,4,8
June 2015,9,6
July 2015,4,3
August 2015,7,0
September 2015,20,0
October 2015,5,4
November 2015,0,2
December 2015,0,0
January 2016,0,5
February 2016,5,3
March 2016,7,7
April 2016,3,5
May 2016,0,0
June 2016,0,0
July 2016,0,0
August 2016,0,0
September 2016,5,0
October 2016,0,2
November 2016,6,3
December 2016,0,0
January 2017,0,2
February 2017,0,4
March 2017,0,6
April 2017,0,5
May 2017,0,1
June 2017,7,0
July 2017,4,0
August 2017,2,4
September 2017,0,0
October 2017,0,0
November 2017,0,3
December 2017,0,0
January 2018,0,14
February 2018,6,0
March 2018,10,7
April 2018,0,1
May 2018,0,0
June 2018,1,0
