Time,evolution,corretion
November 2003,1,0
December 2003,0,0
January 2004,0,0
February 2004,0,0
March 2004,0,0
April 2004,0,0
May 2004,0,0
June 2004,0,0
July 2004,0,0
August 2004,0,0
September 2004,0,4
October 2004,0,0
November 2004,0,0
December 2004,6,0
January 2005,2,0
February 2005,14,2
March 2005,0,0
April 2005,0,0
May 2005,5,0
June 2005,2,0
July 2005,0,14
August 2005,4,5
September 2005,3,0
October 2005,4,8
November 2005,5,3
December 2005,1,0
January 2006,11,0
February 2006,2,0
March 2006,3,2
April 2006,7,2
May 2006,4,6
June 2006,2,1
July 2006,6,5
August 2006,1,3
September 2006,2,11
October 2006,12,0
November 2006,10,0
December 2006,7,15
January 2007,16,15
February 2007,12,19
March 2007,0,8
April 2007,3,35
May 2007,11,3
June 2007,0,4
July 2007,0,6
August 2007,8,0
September 2007,5,13
October 2007,26,14
November 2007,12,8
December 2007,5,21
January 2008,16,8
February 2008,3,13
March 2008,22,12
April 2008,21,17
May 2008,23,13
June 2008,10,15
July 2008,23,9
August 2008,4,5
September 2008,5,8
October 2008,16,16
November 2008,8,16
December 2008,29,12
January 2009,16,19
February 2009,13,8
March 2009,8,4
April 2009,13,9
May 2009,3,1
June 2009,13,0
July 2009,17,5
August 2009,5,20
September 2009,17,18
October 2009,11,10
November 2009,12,8
December 2009,20,2
January 2010,20,4
February 2010,17,9
March 2010,9,19
April 2010,2,10
May 2010,12,2
June 2010,9,10
July 2010,17,6
August 2010,5,8
September 2010,6,9
October 2010,5,6
November 2010,8,19
December 2010,4,10
January 2011,11,9
February 2011,1,2
March 2011,38,15
April 2011,4,7
May 2011,7,10
June 2011,0,3
July 2011,1,12
August 2011,4,0
September 2011,3,9
October 2011,15,5
November 2011,3,13
December 2011,16,2
January 2012,3,8
February 2012,18,17
March 2012,20,6
April 2012,15,5
May 2012,6,11
June 2012,20,5
July 2012,5,8
August 2012,12,15
September 2012,0,0
October 2012,10,6
November 2012,0,1
December 2012,5,3
January 2013,6,0
February 2013,0,2
March 2013,4,2
April 2013,3,2
May 2013,8,3
June 2013,0,6
July 2013,9,0
August 2013,2,3
September 2013,0,2
October 2013,0,8
November 2013,23,0
December 2013,9,6
January 2014,2,5
February 2014,4,0
March 2014,14,0
April 2014,0,0
May 2014,11,4
June 2014,10,5
July 2014,3,23
August 2014,0,3
September 2014,7,0
October 2014,5,11
November 2014,15,11
December 2014,0,11
January 2015,17,7
February 2015,14,16
March 2015,8,4
April 2015,5,6
May 2015,6,3
June 2015,22,28
July 2015,18,10
August 2015,5,0
September 2015,5,2
October 2015,3,0
November 2015,3,0
December 2015,2,0
January 2016,0,15
February 2016,6,0
March 2016,0,3
April 2016,3,3
May 2016,6,2
June 2016,0,5
July 2016,4,3
August 2016,0,7
September 2016,3,0
October 2016,0,2
November 2016,0,0
December 2016,0,3
January 2017,0,24
February 2017,7,0
March 2017,0,3
April 2017,0,4
May 2017,0,6
June 2017,13,8
July 2017,11,4
August 2017,8,0
September 2017,3,4
October 2017,0,0
November 2017,0,0
December 2017,3,3
January 2018,3,7
February 2018,10,6
March 2018,17,11
April 2018,6,0
May 2018,3,0
June 2018,3,4
July 2018,0,3
August 2018,0,0
September 2018,2,5
October 2018,0,2
November 2018,3,0
