Time,evolution,corretion
November 2004,6,0
December 2004,0,0
January 2005,0,0
February 2005,0,0
March 2005,0,0
April 2005,0,0
May 2005,0,0
June 2005,0,0
July 2005,0,0
August 2005,0,0
September 2005,0,0
October 2005,0,0
November 2005,0,0
December 2005,0,0
January 2006,0,0
February 2006,1,0
March 2006,2,0
April 2006,0,0
May 2006,3,0
June 2006,0,0
July 2006,0,15
August 2006,0,0
September 2006,3,0
October 2006,0,0
November 2006,0,1
December 2006,0,0
January 2007,2,0
February 2007,5,1
March 2007,0,0
April 2007,9,0
May 2007,3,0
June 2007,0,3
July 2007,0,3
August 2007,0,0
September 2007,0,0
October 2007,0,0
November 2007,0,0
December 2007,0,0
January 2008,0,0
February 2008,0,0
March 2008,0,0
April 2008,7,0
May 2008,0,0
June 2008,3,0
July 2008,0,0
August 2008,0,0
September 2008,0,8
October 2008,0,0
November 2008,0,0
December 2008,0,0
January 2009,0,0
February 2009,0,0
March 2009,0,0
April 2009,0,0
May 2009,2,0
June 2009,0,2
July 2009,4,0
August 2009,0,0
September 2009,0,0
October 2009,0,0
November 2009,0,0
December 2009,0,0
January 2010,0,5
February 2010,0,0
March 2010,0,0
April 2010,0,0
May 2010,0,0
June 2010,0,0
July 2010,0,0
August 2010,0,6
September 2010,0,1
October 2010,0,0
November 2010,0,0
December 2010,0,0
January 2011,0,1
February 2011,0,0
March 2011,0,0
April 2011,0,0
May 2011,0,0
June 2011,0,0
July 2011,0,0
August 2011,0,0
September 2011,0,0
October 2011,0,0
November 2011,0,0
December 2011,0,0
January 2012,1,0
