Time,evolution,corretion
June 2006,1,3
July 2006,0,0
August 2006,0,0
September 2006,0,0
October 2006,0,0
November 2006,0,0
December 2006,2,0
January 2007,0,0
February 2007,0,0
March 2007,0,0
April 2007,0,0
May 2007,0,0
June 2007,0,0
July 2007,0,3
August 2007,12,0
September 2007,0,0
October 2007,0,0
November 2007,0,0
December 2007,0,0
January 2008,0,4
February 2008,1,0
March 2008,0,0
April 2008,0,0
May 2008,0,3
June 2008,0,0
July 2008,0,0
August 2008,0,0
September 2008,0,0
October 2008,0,0
November 2008,3,0
December 2008,0,0
January 2009,0,0
February 2009,0,0
March 2009,0,3
April 2009,0,0
May 2009,0,0
June 2009,0,0
July 2009,0,0
August 2009,0,0
September 2009,0,0
October 2009,0,0
November 2009,0,0
December 2009,0,0
January 2010,0,0
February 2010,0,0
March 2010,0,0
April 2010,0,0
May 2010,0,0
June 2010,0,0
July 2010,0,0
August 2010,0,0
September 2010,0,0
October 2010,0,0
November 2010,0,5
December 2010,0,0
January 2011,0,2
