Time,evolution,corretion
February 2005,3,0
March 2005,0,0
April 2005,0,0
May 2005,0,0
June 2005,0,0
July 2005,0,0
August 2005,0,0
September 2005,0,0
October 2005,0,0
November 2005,0,0
December 2005,0,0
January 2006,0,0
February 2006,0,0
March 2006,0,0
April 2006,0,0
May 2006,0,0
June 2006,0,0
July 2006,0,0
August 2006,0,0
September 2006,0,0
October 2006,0,0
November 2006,0,0
December 2006,0,0
January 2007,0,0
February 2007,0,0
March 2007,0,0
April 2007,0,0
May 2007,0,0
June 2007,0,0
July 2007,0,0
August 2007,0,0
September 2007,0,0
October 2007,0,0
November 2007,0,0
December 2007,0,0
January 2008,0,0
February 2008,1,0
March 2008,0,0
April 2008,0,0
May 2008,0,0
June 2008,0,0
July 2008,0,0
August 2008,0,0
September 2008,0,0
October 2008,0,0
November 2008,0,0
December 2008,0,0
January 2009,0,0
February 2009,0,0
March 2009,0,0
April 2009,0,0
May 2009,0,0
June 2009,0,0
July 2009,0,0
August 2009,0,0
September 2009,0,0
October 2009,0,0
November 2009,0,0
December 2009,0,0
January 2010,0,0
February 2010,0,0
March 2010,0,0
April 2010,0,0
May 2010,2,0
June 2010,11,0
July 2010,1,0
August 2010,1,0
September 2010,0,0
October 2010,0,0
November 2010,0,0
December 2010,0,0
January 2011,0,0
February 2011,0,0
March 2011,0,0
April 2011,10,0
May 2011,0,0
June 2011,0,0
July 2011,0,0
August 2011,0,4
September 2011,0,0
October 2011,3,0
November 2011,0,0
December 2011,0,0
January 2012,7,0
February 2012,0,3
March 2012,8,0
April 2012,3,3
May 2012,0,0
June 2012,3,0
July 2012,0,0
August 2012,0,3
September 2012,0,3
October 2012,0,0
November 2012,3,0
