Time,evolution,corretion
March 2004,0,4
April 2004,0,0
May 2004,0,0
June 2004,4,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,16,0
November 2004,4,0
December 2004,8,2
January 2005,0,4
February 2005,20,26
March 2005,4,24
April 2005,5,24
May 2005,20,28
June 2005,32,48
July 2005,25,14
August 2005,34,16
September 2005,15,18
October 2005,6,33
November 2005,18,17
December 2005,8,12
January 2006,4,6
February 2006,6,6
March 2006,8,3
April 2006,9,12
May 2006,18,12
June 2006,10,4
July 2006,9,1
August 2006,2,14
September 2006,4,2
October 2006,10,13
November 2006,16,4
December 2006,15,10
January 2007,19,19
February 2007,0,11
March 2007,4,8
April 2007,3,26
May 2007,16,14
June 2007,0,21
July 2007,7,6
August 2007,0,10
September 2007,11,33
October 2007,12,27
November 2007,12,23
December 2007,9,21
January 2008,27,21
February 2008,14,2
March 2008,6,11
April 2008,22,15
May 2008,0,11
June 2008,20,16
July 2008,3,5
August 2008,12,0
September 2008,4,4
October 2008,7,4
November 2008,15,8
December 2008,0,12
January 2009,19,20
February 2009,20,8
March 2009,0,0
April 2009,0,0
May 2009,4,6
June 2009,8,5
July 2009,11,6
August 2009,8,21
September 2009,4,0
October 2009,0,3
November 2009,10,12
December 2009,0,10
January 2010,4,18
February 2010,0,19
March 2010,0,4
April 2010,12,0
May 2010,6,4
June 2010,4,6
July 2010,14,13
August 2010,4,8
September 2010,0,7
October 2010,16,14
November 2010,15,0
December 2010,8,14
January 2011,16,20
February 2011,15,2
March 2011,35,8
April 2011,13,6
May 2011,10,13
June 2011,8,4
July 2011,25,12
August 2011,16,0
September 2011,23,4
October 2011,18,3
November 2011,4,6
December 2011,9,10
January 2012,12,14
February 2012,24,14
March 2012,15,19
April 2012,0,0
May 2012,12,0
June 2012,10,0
July 2012,0,4
August 2012,4,10
September 2012,0,0
October 2012,4,0
November 2012,0,10
December 2012,0,5
January 2013,11,6
February 2013,9,4
March 2013,0,16
April 2013,6,4
May 2013,4,6
June 2013,82,9
July 2013,0,12
August 2013,12,2
September 2013,8,28
October 2013,8,20
November 2013,14,0
December 2013,4,0
January 2014,28,9
February 2014,0,7
March 2014,8,8
April 2014,8,0
May 2014,0,4
June 2014,8,0
July 2014,4,8
August 2014,0,16
September 2014,28,36
October 2014,42,36
November 2014,16,32
December 2014,20,18
January 2015,27,20
February 2015,26,32
March 2015,16,20
April 2015,24,16
May 2015,17,12
June 2015,34,18
July 2015,19,20
August 2015,28,8
September 2015,14,12
October 2015,12,8
November 2015,164,44
December 2015,67,33
January 2016,84,51
February 2016,88,20
March 2016,79,45
April 2016,4,35
May 2016,32,4
June 2016,56,39
July 2016,40,24
August 2016,28,36
September 2016,36,40
October 2016,44,46
November 2016,75,24
December 2016,28,41
January 2017,59,54
February 2017,80,71
March 2017,119,40
April 2017,72,76
May 2017,112,84
June 2017,92,117
July 2017,84,72
August 2017,60,48
September 2017,60,79
October 2017,60,76
November 2017,84,89
December 2017,56,46
January 2018,127,112
February 2018,200,96
March 2018,230,70
April 2018,152,52
May 2018,144,120
June 2018,184,168
July 2018,172,164
August 2018,184,132
September 2018,229,151
October 2018,208,168
November 2018,220,188
December 2018,100,124
January 2019,196,276
February 2019,252,316
March 2019,356,296
