Time,evolution,corretion
March 2004,4,0
April 2004,0,0
May 2004,0,0
June 2004,0,0
July 2004,0,0
August 2004,0,0
September 2004,0,0
October 2004,0,0
November 2004,0,0
December 2004,0,0
January 2005,0,0
February 2005,2,2
March 2005,3,1
April 2005,0,4
May 2005,0,6
June 2005,9,0
July 2005,0,0
August 2005,0,0
September 2005,3,0
October 2005,0,2
November 2005,2,0
December 2005,3,3
January 2006,1,22
February 2006,8,0
March 2006,0,11
April 2006,0,0
May 2006,6,0
June 2006,1,0
July 2006,15,0
August 2006,5,3
September 2006,6,5
October 2006,0,10
November 2006,0,9
December 2006,0,2
January 2007,3,5
February 2007,5,2
March 2007,4,1
April 2007,3,4
May 2007,0,0
June 2007,8,2
July 2007,0,0
August 2007,0,0
September 2007,6,8
October 2007,0,2
November 2007,4,0
December 2007,0,0
January 2008,0,2
February 2008,1,2
March 2008,8,7
April 2008,16,0
May 2008,18,0
June 2008,2,0
July 2008,0,2
August 2008,0,4
September 2008,4,9
October 2008,6,13
November 2008,6,21
December 2008,10,49
January 2009,4,13
February 2009,12,8
March 2009,0,4
April 2009,3,2
May 2009,1,0
June 2009,2,0
July 2009,19,0
August 2009,2,0
September 2009,0,2
October 2009,16,8
November 2009,12,12
December 2009,36,0
January 2010,9,0
February 2010,24,0
March 2010,3,10
April 2010,28,10
May 2010,17,0
June 2010,14,2
July 2010,0,0
August 2010,0,0
September 2010,10,1
October 2010,6,0
November 2010,10,5
December 2010,2,9
January 2011,1,2
February 2011,4,6
March 2011,10,5
April 2011,5,11
May 2011,10,15
June 2011,1,2
July 2011,0,3
August 2011,1,0
September 2011,7,1
October 2011,6,0
November 2011,9,2
December 2011,9,18
January 2012,3,0
February 2012,5,0
March 2012,0,4
April 2012,3,0
May 2012,14,0
June 2012,2,2
July 2012,15,4
August 2012,0,8
September 2012,4,2
October 2012,0,9
November 2012,44,14
December 2012,0,0
January 2013,0,3
February 2013,2,0
March 2013,0,0
April 2013,0,0
May 2013,0,0
June 2013,2,0
July 2013,2,2
August 2013,0,0
September 2013,3,0
October 2013,4,0
November 2013,21,0
December 2013,0,0
January 2014,16,2
February 2014,8,0
March 2014,4,3
April 2014,2,4
May 2014,4,0
June 2014,1,0
July 2014,0,2
August 2014,0,0
September 2014,0,0
October 2014,3,1
November 2014,6,0
December 2014,0,0
January 2015,2,2
February 2015,5,0
March 2015,4,6
April 2015,2,0
May 2015,4,0
June 2015,0,0
July 2015,2,0
August 2015,7,5
September 2015,3,0
October 2015,0,7
November 2015,0,2
December 2015,0,13
January 2016,4,0
February 2016,2,4
March 2016,0,0
April 2016,0,0
May 2016,7,0
June 2016,2,0
July 2016,0,0
August 2016,5,0
September 2016,4,0
October 2016,2,0
November 2016,18,4
December 2016,0,6
January 2017,0,2
February 2017,6,4
March 2017,3,5
April 2017,0,0
May 2017,0,0
June 2017,0,4
July 2017,0,0
August 2017,0,0
September 2017,0,0
October 2017,0,0
November 2017,0,0
December 2017,0,3
January 2018,9,0
February 2018,0,3
March 2018,3,0
April 2018,0,1
May 2018,0,0
June 2018,2,0
July 2018,0,0
August 2018,0,3
September 2018,20,0
October 2018,5,0
November 2018,0,0
December 2018,0,0
January 2019,4,0
