Time,evolution,corretion
March 2004,4,0
April 2004,0,0
May 2004,0,0
June 2004,0,0
July 2004,0,0
August 2004,0,0
September 2004,0,7
October 2004,0,0
November 2004,2,0
December 2004,0,0
January 2005,0,0
February 2005,4,2
March 2005,3,4
April 2005,0,4
May 2005,0,12
June 2005,14,1
July 2005,3,0
August 2005,5,0
September 2005,7,0
October 2005,4,2
November 2005,2,1
December 2005,4,1
January 2006,4,23
February 2006,11,0
March 2006,6,11
April 2006,2,5
May 2006,4,0
June 2006,0,0
July 2006,23,0
August 2006,8,6
September 2006,6,5
October 2006,8,28
November 2006,15,11
December 2006,7,4
January 2007,17,4
February 2007,7,4
March 2007,5,7
April 2007,12,7
May 2007,1,5
June 2007,8,6
July 2007,0,0
August 2007,2,0
September 2007,17,10
October 2007,8,8
November 2007,5,0
December 2007,4,0
January 2008,4,4
February 2008,7,3
March 2008,15,7
April 2008,18,9
May 2008,41,12
June 2008,2,1
July 2008,4,4
August 2008,1,12
September 2008,10,8
October 2008,15,27
November 2008,6,24
December 2008,21,64
January 2009,2,22
February 2009,12,12
March 2009,6,17
April 2009,3,4
May 2009,2,2
June 2009,4,2
July 2009,14,0
August 2009,12,0
September 2009,2,6
October 2009,12,2
November 2009,21,4
December 2009,46,4
January 2010,19,0
February 2010,30,0
March 2010,2,9
April 2010,36,17
May 2010,38,2
June 2010,13,8
July 2010,3,0
August 2010,7,3
September 2010,18,9
October 2010,34,1
November 2010,51,12
December 2010,12,0
January 2011,3,9
February 2011,6,6
March 2011,13,21
April 2011,34,20
May 2011,10,13
June 2011,3,6
July 2011,3,5
August 2011,10,3
September 2011,9,2
October 2011,6,1
November 2011,25,6
December 2011,11,2
January 2012,0,0
February 2012,42,10
March 2012,2,16
April 2012,7,6
May 2012,30,9
June 2012,2,5
July 2012,11,1
August 2012,3,7
September 2012,13,4
October 2012,3,18
November 2012,101,49
December 2012,0,16
January 2013,0,3
February 2013,9,15
March 2013,7,13
April 2013,2,11
May 2013,4,4
June 2013,2,3
July 2013,25,2
August 2013,0,0
September 2013,7,4
October 2013,9,0
November 2013,29,2
December 2013,4,18
January 2014,17,7
February 2014,23,4
March 2014,2,8
April 2014,9,7
May 2014,9,7
June 2014,8,13
July 2014,7,8
August 2014,0,6
September 2014,6,0
October 2014,6,2
November 2014,7,8
December 2014,1,6
January 2015,8,5
February 2015,4,24
March 2015,7,12
April 2015,12,13
May 2015,23,6
June 2015,5,11
July 2015,12,17
August 2015,31,2
September 2015,9,7
October 2015,29,10
November 2015,7,0
December 2015,3,4
January 2016,35,2
February 2016,19,0
March 2016,3,6
April 2016,0,4
May 2016,14,18
June 2016,6,2
July 2016,0,11
August 2016,5,3
September 2016,6,2
October 2016,4,4
November 2016,19,0
December 2016,2,8
January 2017,5,30
February 2017,9,7
March 2017,0,3
April 2017,0,3
May 2017,0,4
June 2017,0,22
July 2017,0,0
August 2017,0,3
September 2017,0,0
October 2017,14,18
November 2017,0,0
December 2017,0,8
January 2018,0,3
February 2018,2,3
March 2018,3,0
April 2018,3,1
May 2018,0,2
June 2018,6,0
July 2018,3,1
August 2018,0,4
September 2018,44,0
October 2018,10,0
November 2018,0,0
December 2018,0,0
January 2019,8,0
February 2019,2,0
