Time,evolution,corretion
August 2003,3,0
September 2003,0,0
October 2003,0,0
November 2003,0,0
December 2003,0,0
January 2004,0,0
February 2004,0,0
March 2004,1,1
April 2004,0,0
May 2004,0,0
June 2004,1,0
July 2004,0,0
August 2004,0,0
September 2004,0,1
October 2004,6,0
November 2004,1,0
December 2004,7,0
January 2005,6,2
February 2005,25,9
March 2005,42,22
April 2005,21,9
May 2005,10,9
June 2005,13,13
July 2005,14,4
August 2005,19,8
September 2005,29,7
October 2005,27,8
November 2005,9,14
December 2005,27,18
January 2006,48,11
February 2006,35,8
March 2006,36,9
April 2006,19,9
May 2006,11,11
June 2006,23,15
July 2006,11,7
August 2006,30,15
September 2006,25,18
October 2006,40,26
November 2006,23,6
December 2006,11,7
January 2007,11,14
February 2007,31,7
March 2007,12,15
April 2007,6,12
May 2007,22,8
June 2007,12,10
July 2007,14,11
August 2007,3,7
September 2007,11,10
October 2007,20,18
November 2007,22,12
December 2007,16,8
January 2008,25,10
February 2008,11,5
March 2008,11,8
April 2008,23,17
May 2008,9,14
June 2008,22,18
July 2008,18,7
August 2008,17,12
September 2008,11,12
October 2008,29,11
November 2008,15,30
December 2008,15,13
January 2009,19,6
February 2009,33,6
March 2009,27,14
April 2009,17,6
May 2009,8,4
June 2009,12,3
July 2009,16,3
August 2009,15,0
September 2009,9,2
October 2009,7,2
November 2009,29,7
December 2009,28,15
January 2010,25,10
February 2010,22,12
March 2010,17,9
April 2010,6,6
May 2010,10,8
June 2010,15,6
July 2010,6,0
August 2010,11,1
September 2010,8,5
October 2010,36,2
November 2010,17,0
December 2010,22,10
January 2011,10,8
February 2011,14,23
March 2011,19,17
April 2011,25,9
May 2011,38,12
June 2011,20,7
July 2011,24,3
August 2011,37,6
September 2011,38,3
October 2011,20,7
November 2011,16,8
December 2011,18,20
January 2012,54,10
February 2012,37,23
March 2012,54,22
April 2012,8,12
May 2012,10,8
June 2012,16,10
July 2012,14,6
August 2012,7,23
September 2012,54,4
October 2012,24,7
November 2012,40,11
December 2012,22,12
January 2013,24,14
February 2013,8,17
March 2013,12,5
April 2013,24,8
May 2013,2,19
June 2013,24,4
July 2013,10,7
August 2013,23,9
September 2013,38,16
October 2013,38,11
November 2013,20,6
December 2013,6,9
January 2014,36,7
February 2014,8,13
March 2014,14,7
April 2014,6,1
May 2014,4,6
June 2014,2,5
July 2014,4,4
August 2014,12,9
September 2014,28,16
October 2014,33,15
November 2014,9,12
December 2014,20,13
January 2015,14,24
February 2015,3,13
March 2015,8,5
April 2015,10,9
May 2015,6,9
June 2015,13,4
July 2015,16,7
August 2015,12,4
September 2015,7,5
October 2015,27,6
November 2015,74,14
December 2015,28,16
January 2016,25,16
February 2016,29,9
March 2016,41,17
April 2016,7,6
May 2016,31,3
June 2016,17,13
July 2016,12,8
August 2016,17,12
September 2016,18,15
October 2016,17,18
November 2016,48,12
December 2016,16,23
January 2017,44,14
February 2017,22,21
March 2017,33,10
April 2017,23,25
May 2017,32,28
June 2017,24,33
July 2017,27,15
August 2017,30,14
September 2017,23,19
October 2017,21,23
November 2017,29,21
December 2017,19,15
January 2018,40,35
February 2018,53,26
March 2018,68,18
April 2018,41,20
May 2018,36,32
June 2018,51,42
July 2018,45,43
August 2018,58,33
September 2018,57,43
October 2018,65,45
November 2018,60,47
December 2018,25,30
January 2019,51,70
February 2019,65,79
March 2019,89,74
