Time,evolution,corretion
October 2004,1,0
November 2004,0,0
December 2004,0,0
January 2005,3,1
February 2005,2,0
March 2005,1,3
April 2005,4,0
May 2005,1,0
June 2005,0,3
July 2005,10,0
August 2005,6,3
September 2005,5,1
October 2005,12,0
November 2005,8,4
December 2005,9,5
January 2006,8,3
February 2006,0,7
March 2006,6,2
April 2006,7,0
May 2006,5,0
June 2006,10,0
July 2006,0,1
August 2006,7,3
September 2006,4,1
October 2006,8,1
November 2006,10,10
December 2006,4,5
January 2007,6,5
February 2007,14,1
March 2007,5,12
April 2007,5,3
May 2007,7,4
June 2007,1,3
July 2007,2,0
August 2007,2,0
September 2007,7,4
October 2007,12,3
November 2007,11,2
December 2007,4,3
January 2008,0,1
February 2008,3,1
March 2008,6,0
April 2008,2,2
May 2008,6,10
June 2008,0,8
July 2008,6,3
August 2008,2,8
September 2008,0,3
October 2008,7,1
November 2008,12,2
December 2008,5,2
January 2009,5,2
February 2009,5,0
March 2009,3,0
April 2009,0,0
May 2009,1,0
June 2009,0,0
July 2009,7,1
August 2009,5,1
September 2009,1,0
October 2009,3,0
November 2009,8,3
December 2009,11,6
January 2010,3,5
February 2010,9,3
March 2010,11,2
April 2010,1,0
May 2010,6,1
June 2010,6,3
July 2010,4,8
August 2010,2,0
September 2010,4,1
October 2010,9,1
November 2010,8,5
December 2010,9,2
January 2011,8,1
February 2011,4,2
March 2011,0,1
April 2011,2,1
May 2011,12,4
June 2011,4,8
July 2011,2,0
August 2011,7,0
September 2011,4,0
October 2011,5,0
November 2011,20,6
December 2011,4,3
January 2012,18,8
February 2012,9,4
March 2012,12,6
April 2012,3,1
May 2012,1,2
June 2012,13,0
July 2012,0,2
August 2012,1,1
September 2012,7,0
October 2012,1,1
November 2012,4,5
December 2012,3,1
January 2013,1,2
February 2013,0,0
March 2013,0,0
April 2013,7,1
May 2013,0,4
June 2013,4,0
July 2013,3,3
August 2013,4,0
September 2013,2,2
October 2013,0,2
November 2013,10,0
December 2013,6,8
January 2014,6,2
February 2014,2,7
March 2014,10,3
April 2014,4,1
May 2014,0,0
June 2014,0,1
July 2014,5,1
August 2014,6,6
September 2014,11,3
October 2014,5,1
November 2014,13,0
December 2014,15,0
January 2015,4,2
February 2015,0,2
March 2015,0,2
April 2015,0,0
May 2015,2,0
June 2015,0,2
July 2015,0,0
August 2015,0,1
September 2015,1,0
October 2015,0,0
November 2015,2,2
December 2015,0,0
January 2016,0,0
February 2016,0,0
March 2016,1,0
April 2016,4,0
May 2016,0,0
June 2016,0,0
July 2016,0,0
August 2016,0,0
September 2016,0,1
October 2016,5,0
November 2016,0,2
December 2016,1,0
January 2017,3,0
February 2017,0,0
March 2017,1,0
April 2017,0,7
May 2017,0,0
June 2017,1,0
July 2017,0,1
August 2017,0,1
September 2017,0,0
October 2017,2,0
November 2017,0,0
December 2017,0,0
January 2018,1,2
February 2018,0,0
March 2018,0,0
April 2018,0,0
May 2018,0,0
June 2018,0,0
July 2018,0,1
August 2018,2,0
September 2018,1,0
October 2018,0,0
November 2018,2,0
